k_on,k_off,v_open,v_close
5.62341325190349e-6,1.778279410038923e-5,5.623413251903491e-6,0.0017782794100389225
5.62341325190349e-6,1.778279410038923e-5,5.623413251903491e-6,0.003162277660168379
5.62341325190349e-6,1.778279410038923e-5,5.623413251903491e-6,0.00562341325190349
5.62341325190349e-6,1.778279410038923e-5,1.0e-5,0.0017782794100389225
5.62341325190349e-6,1.778279410038923e-5,1.0e-5,0.003162277660168379
5.62341325190349e-6,1.778279410038923e-5,1.0e-5,0.00562341325190349
5.62341325190349e-6,1.778279410038923e-5,1.778279410038923e-5,0.0017782794100389225
5.62341325190349e-6,1.778279410038923e-5,1.778279410038923e-5,0.003162277660168379
5.62341325190349e-6,1.778279410038923e-5,1.778279410038923e-5,0.00562341325190349
5.62341325190349e-6,3.1622776601683795e-5,5.623413251903491e-6,0.0017782794100389225
5.62341325190349e-6,3.1622776601683795e-5,5.623413251903491e-6,0.003162277660168379
5.62341325190349e-6,3.1622776601683795e-5,5.623413251903491e-6,0.00562341325190349
5.62341325190349e-6,3.1622776601683795e-5,1.0e-5,0.0017782794100389225
5.62341325190349e-6,3.1622776601683795e-5,1.0e-5,0.003162277660168379
5.62341325190349e-6,3.1622776601683795e-5,1.0e-5,0.00562341325190349
5.62341325190349e-6,3.1622776601683795e-5,1.778279410038923e-5,0.0017782794100389225
5.62341325190349e-6,3.1622776601683795e-5,1.778279410038923e-5,0.003162277660168379
5.62341325190349e-6,3.1622776601683795e-5,1.778279410038923e-5,0.00562341325190349
5.62341325190349e-6,5.623413251903491e-5,5.623413251903491e-6,0.0017782794100389225
5.62341325190349e-6,5.623413251903491e-5,5.623413251903491e-6,0.003162277660168379
5.62341325190349e-6,5.623413251903491e-5,5.623413251903491e-6,0.00562341325190349
5.62341325190349e-6,5.623413251903491e-5,1.0e-5,0.0017782794100389225
5.62341325190349e-6,5.623413251903491e-5,1.0e-5,0.003162277660168379
5.62341325190349e-6,5.623413251903491e-5,1.0e-5,0.00562341325190349
5.62341325190349e-6,5.623413251903491e-5,1.778279410038923e-5,0.0017782794100389225
5.62341325190349e-6,5.623413251903491e-5,1.778279410038923e-5,0.003162277660168379
5.62341325190349e-6,5.623413251903491e-5,1.778279410038923e-5,0.00562341325190349
9.999999999999999e-6,1.778279410038923e-5,5.623413251903491e-6,0.0017782794100389225
9.999999999999999e-6,1.778279410038923e-5,5.623413251903491e-6,0.003162277660168379
9.999999999999999e-6,1.778279410038923e-5,5.623413251903491e-6,0.00562341325190349
9.999999999999999e-6,1.778279410038923e-5,1.0e-5,0.0017782794100389225
9.999999999999999e-6,1.778279410038923e-5,1.0e-5,0.003162277660168379
9.999999999999999e-6,1.778279410038923e-5,1.0e-5,0.00562341325190349
