k_on,k_off,v_open,v_close
3.162277660168379e-6,1.0000000000000002e-6,1.0e-6,0.0031622776601683794
3.162277660168379e-6,1.0000000000000002e-6,1.0e-6,0.01
3.162277660168379e-6,1.0000000000000002e-6,1.0e-6,0.0316227766016838
3.162277660168379e-6,1.0000000000000002e-6,3.162277660168379e-6,0.0031622776601683794
3.162277660168379e-6,1.0000000000000002e-6,3.162277660168379e-6,0.01
3.162277660168379e-6,1.0000000000000002e-6,3.162277660168379e-6,0.0316227766016838
3.162277660168379e-6,1.0000000000000002e-6,1.0e-5,0.0031622776601683794
3.162277660168379e-6,1.0000000000000002e-6,1.0e-5,0.01
3.162277660168379e-6,1.0000000000000002e-6,1.0e-5,0.0316227766016838
3.162277660168379e-6,3.1622776601683796e-6,1.0e-6,0.0031622776601683794
3.162277660168379e-6,3.1622776601683796e-6,1.0e-6,0.01
3.162277660168379e-6,3.1622776601683796e-6,1.0e-6,0.0316227766016838
3.162277660168379e-6,3.1622776601683796e-6,3.162277660168379e-6,0.0031622776601683794
3.162277660168379e-6,3.1622776601683796e-6,3.162277660168379e-6,0.01
3.162277660168379e-6,3.1622776601683796e-6,3.162277660168379e-6,0.0316227766016838
3.162277660168379e-6,3.1622776601683796e-6,1.0e-5,0.0031622776601683794
3.162277660168379e-6,3.1622776601683796e-6,1.0e-5,0.01
3.162277660168379e-6,3.1622776601683796e-6,1.0e-5,0.0316227766016838
3.162277660168379e-6,1.0e-5,1.0e-6,0.0031622776601683794
3.162277660168379e-6,1.0e-5,1.0e-6,0.01
3.162277660168379e-6,1.0e-5,1.0e-6,0.0316227766016838
3.162277660168379e-6,1.0e-5,3.162277660168379e-6,0.0031622776601683794
3.162277660168379e-6,1.0e-5,3.162277660168379e-6,0.01
3.162277660168379e-6,1.0e-5,3.162277660168379e-6,0.0316227766016838
3.162277660168379e-6,1.0e-5,1.0e-5,0.0031622776601683794
3.162277660168379e-6,1.0e-5,1.0e-5,0.01
3.162277660168379e-6,1.0e-5,1.0e-5,0.0316227766016838
9.999999999999999e-6,1.0000000000000002e-6,1.0e-6,0.0031622776601683794
9.999999999999999e-6,1.0000000000000002e-6,1.0e-6,0.01
9.999999999999999e-6,1.0000000000000002e-6,1.0e-6,0.0316227766016838
9.999999999999999e-6,1.0000000000000002e-6,3.162277660168379e-6,0.0031622776601683794
9.999999999999999e-6,1.0000000000000002e-6,3.162277660168379e-6,0.01
9.999999999999999e-6,1.0000000000000002e-6,3.162277660168379e-6,0.0316227766016838
9.999999999999999e-6,1.0000000000000002e-6,1.0e-5,0.0031622776601683794
9.999999999999999e-6,1.0000000000000002e-6,1.0e-5,0.01
9.999999999999999e-6,1.0000000000000002e-6,1.0e-5,0.0316227766016838
9.999999999999999e-6,3.1622776601683796e-6,1.0e-6,0.0031622776601683794
9.999999999999999e-6,3.1622776601683796e-6,1.0e-6,0.01
9.999999999999999e-6,3.1622776601683796e-6,1.0e-6,0.0316227766016838
9.999999999999999e-6,3.1622776601683796e-6,3.162277660168379e-6,0.0031622776601683794
9.999999999999999e-6,3.1622776601683796e-6,3.162277660168379e-6,0.01
9.999999999999999e-6,3.1622776601683796e-6,3.162277660168379e-6,0.0316227766016838
9.999999999999999e-6,3.1622776601683796e-6,1.0e-5,0.0031622776601683794
9.999999999999999e-6,3.1622776601683796e-6,1.0e-5,0.01
9.999999999999999e-6,3.1622776601683796e-6,1.0e-5,0.0316227766016838
9.999999999999999e-6,1.0e-5,1.0e-6,0.0031622776601683794
9.999999999999999e-6,1.0e-5,1.0e-6,0.01
9.999999999999999e-6,1.0e-5,1.0e-6,0.0316227766016838
9.999999999999999e-6,1.0e-5,3.162277660168379e-6,0.0031622776601683794
9.999999999999999e-6,1.0e-5,3.162277660168379e-6,0.01
9.999999999999999e-6,1.0e-5,3.162277660168379e-6,0.0316227766016838
9.999999999999999e-6,1.0e-5,1.0e-5,0.0031622776601683794
9.999999999999999e-6,1.0e-5,1.0e-5,0.01
9.999999999999999e-6,1.0e-5,1.0e-5,0.0316227766016838
3.1622776601683795e-5,1.0000000000000002e-6,1.0e-6,0.0031622776601683794
3.1622776601683795e-5,1.0000000000000002e-6,1.0e-6,0.01
3.1622776601683795e-5,1.0000000000000002e-6,1.0e-6,0.0316227766016838
3.1622776601683795e-5,1.0000000000000002e-6,3.162277660168379e-6,0.0031622776601683794
3.1622776601683795e-5,1.0000000000000002e-6,3.162277660168379e-6,0.01
