Normalized_intensity_increment,SE
-9.64E-01,6.42E-03
-9.63E-01,6.80E-03
-9.56E-01,7.89E-03
-9.59E-01,7.11E-03
-9.68E-01,6.24E-03
-9.59E-01,7.29E-03
-9.61E-01,6.82E-03
-9.61E-01,7.16E-03
-9.63E-01,6.76E-03
-9.61E-01,6.80E-03
-9.66E-01,6.28E-03
-9.66E-01,6.17E-03
-9.59E-01,7.49E-03
-9.62E-01,6.71E-03
-9.63E-01,6.54E-03
-9.63E-01,7.14E-03
-9.57E-01,7.55E-03
-9.60E-01,7.43E-03
-9.52E-01,8.74E-03
-8.87E-01,6.64E-03
-8.75E-01,5.79E-03
-8.42E-01,7.31E-03
-8.22E-01,6.38E-03
-8.16E-01,6.99E-03
-8.30E-01,6.90E-03
-8.22E-01,7.81E-03
-8.23E-01,6.85E-03
-7.97E-01,7.18E-03
-8.20E-01,7.00E-03
-8.45E-01,5.74E-03
-8.35E-01,6.54E-03
-8.29E-01,6.03E-03
-8.28E-01,6.02E-03
-8.34E-01,5.53E-03
-8.35E-01,5.68E-03
-8.31E-01,6.28E-03
-7.88E-01,6.35E-03
-7.85E-01,6.47E-03
-7.78E-01,6.32E-03
-7.83E-01,5.77E-03
-7.72E-01,6.26E-03
-7.80E-01,6.53E-03
-7.77E-01,7.04E-03
-7.74E-01,5.98E-03
-7.95E-01,5.13E-03
-7.69E-01,5.96E-03
-7.84E-01,5.26E-03
-7.98E-01,5.36E-03
-8.09E-01,5.29E-03
-8.05E-01,5.39E-03
-8.07E-01,5.57E-03
-8.05E-01,5.73E-03
-7.99E-01,5.13E-03
-8.06E-01,5.77E-03
-8.04E-01,5.53E-03
-7.97E-01,5.38E-03
-7.98E-01,5.31E-03
-8.00E-01,5.03E-03
-7.88E-01,5.40E-03
-7.89E-01,5.26E-03
-7.90E-01,5.49E-03
-7.87E-01,5.32E-03
-7.77E-01,5.52E-03
-7.82E-01,5.56E-03
-7.84E-01,5.52E-03
-7.81E-01,5.09E-03
-7.80E-01,5.33E-03
-7.80E-01,5.27E-03
-7.73E-01,5.36E-03
-7.76E-01,5.29E-03
-7.61E-01,4.96E-03
-7.61E-01,4.80E-03
-7.66E-01,5.10E-03
-7.65E-01,5.51E-03
-7.70E-01,5.01E-03
-7.64E-01,5.15E-03
