Normalized_intensity_increment,SE
-3.17E-01,6.53E-03
-3.10E-01,8.17E-03
-3.15E-01,7.42E-03
-3.14E-01,7.72E-03
-3.08E-01,7.81E-03
-2.95E-01,7.40E-03
-2.87E-01,8.23E-03
-3.08E-01,7.27E-03
-3.16E-01,8.48E-03
-2.92E-01,7.82E-03
-2.77E-01,7.16E-03
-2.94E-01,5.32E-03
-2.71E-01,6.33E-03
-2.66E-01,8.05E-03
-2.79E-01,8.83E-03
-2.76E-01,6.88E-03
-2.81E-01,5.74E-03
-2.77E-01,6.82E-03
-2.73E-01,6.88E-03
-2.69E-01,7.27E-03
-2.64E-01,7.06E-03
-2.76E-01,7.09E-03
-2.61E-01,8.06E-03
-2.49E-01,7.90E-03
-2.60E-01,7.78E-03
-2.66E-01,7.17E-03
-2.50E-01,7.95E-03
-2.42E-01,6.99E-03
-2.64E-01,7.30E-03
-2.55E-01,7.59E-03
-2.51E-01,8.26E-03
-2.52E-01,8.06E-03
-2.50E-01,7.68E-03
-2.44E-01,7.39E-03
-2.27E-01,6.88E-03
-2.30E-01,8.16E-03
-2.34E-01,7.38E-03
-2.39E-01,7.28E-03
-2.30E-01,8.90E-03
-2.29E-01,7.06E-03
-2.37E-01,9.36E-03
-2.36E-01,7.02E-03
-2.26E-01,8.02E-03
-2.49E-01,6.81E-03
-2.42E-01,6.28E-03
-2.30E-01,7.18E-03
-2.08E-01,6.96E-03
-2.18E-01,6.38E-03
-2.13E-01,7.48E-03
-2.10E-01,8.00E-03
-2.08E-01,7.00E-03
-2.28E-01,7.63E-03
-2.05E-01,8.04E-03
-1.89E-01,8.43E-03
-1.95E-01,8.38E-03
-2.15E-01,7.03E-03
-1.93E-01,8.42E-03
-1.93E-01,7.02E-03
-1.70E-01,7.79E-03
-1.75E-01,7.04E-03
-1.88E-01,6.60E-03
-1.91E-01,8.73E-03
-1.80E-01,7.38E-03
-1.78E-01,7.48E-03
-1.74E-01,7.34E-03
-1.63E-01,8.79E-03
-1.50E-01,6.80E-03
-1.74E-01,6.17E-03
-1.53E-01,6.17E-03
-1.68E-01,7.55E-03
-1.48E-01,8.05E-03
-1.63E-01,6.36E-03
-1.38E-01,7.65E-03
-1.57E-01,7.51E-03
-1.63E-01,7.67E-03
-1.33E-01,6.83E-03
-1.31E-01,8.52E-03
-1.41E-01,7.28E-03
-1.48E-01,6.80E-03
-1.46E-01,6.99E-03
-1.67E-01,7.99E-03
-1.46E-01,7.98E-03
-1.39E-01,7.94E-03
-1.35E-01,6.84E-03
-1.15E-01,6.48E-03
-1.17E-01,7.27E-03
-1.37E-01,7.49E-03
-1.39E-01,6.89E-03
-1.18E-01,6.29E-03
-1.32E-01,6.53E-03
-1.24E-01,6.24E-03
-1.22E-01,6.02E-03
-1.19E-01,7.37E-03
-9.58E-02,6.99E-03
-1.20E-01,8.85E-03
-9.36E-02,6.52E-03
-1.09E-01,7.67E-03
-1.09E-01,7.65E-03
-1.41E-01,6.63E-03
-8.93E-02,7.74E-03
-7.78E-02,6.72E-03
-1.28E-01,7.26E-03
-1.09E-01,6.90E-03
-1.05E-01,6.01E-03
-8.17E-02,7.46E-03
-9.65E-02,6.36E-03
-7.69E-02,7.84E-03
-9.41E-02,7.72E-03
-8.23E-02,6.58E-03
-9.42E-02,7.04E-03
-7.05E-02,8.05E-03
-8.10E-02,7.19E-03
-6.88E-02,6.85E-03
-5.56E-02,6.79E-03
-5.10E-02,7.33E-03
-7.62E-02,7.24E-03
-7.06E-02,7.18E-03
-7.50E-02,7.16E-03
-7.63E-02,7.52E-03
-5.53E-02,7.42E-03
-6.50E-02,7.68E-03
-6.37E-02,9.14E-03
-6.03E-02,6.47E-03
-5.07E-02,9.09E-03
-5.73E-02,7.36E-03
-4.36E-02,7.56E-03
-3.02E-02,8.78E-03
-5.03E-02,6.99E-03
-5.60E-02,7.51E-03
-3.53E-02,6.50E-03
-3.71E-02,8.15E-03
-3.93E-02,6.77E-03
-4.14E-02,8.29E-03
-5.21E-02,7.82E-03
-5.34E-02,8.65E-03
