Normalized_intensity_increment,SE
-3.84E-01,7.17E-03
-3.87E-01,6.29E-03
-3.82E-01,6.10E-03
-3.67E-01,6.82E-03
-3.67E-01,7.07E-03
-3.54E-01,7.20E-03
-3.77E-01,7.46E-03
-3.63E-01,8.10E-03
-3.68E-01,6.89E-03
-3.55E-01,7.38E-03
-3.46E-01,6.62E-03
-3.39E-01,6.27E-03
-3.37E-01,6.08E-03
-3.25E-01,6.29E-03
-3.21E-01,5.93E-03
-3.30E-01,6.18E-03
-3.36E-01,6.86E-03
-3.18E-01,5.30E-03
-3.28E-01,6.67E-03
-3.15E-01,6.44E-03
-3.09E-01,5.77E-03
-3.11E-01,6.79E-03
-3.17E-01,5.56E-03
-3.04E-01,6.83E-03
-3.02E-01,5.88E-03
-2.88E-01,5.98E-03
-3.07E-01,6.22E-03
-2.86E-01,6.31E-03
-2.93E-01,7.14E-03
-2.91E-01,6.80E-03
-2.86E-01,6.83E-03
-2.82E-01,6.80E-03
-2.84E-01,6.60E-03
-2.86E-01,7.02E-03
-2.68E-01,6.27E-03
-2.56E-01,6.08E-03
-2.70E-01,5.65E-03
-2.67E-01,6.68E-03
-2.75E-01,6.34E-03
-2.82E-01,5.97E-03
-2.84E-01,6.25E-03
-2.63E-01,6.69E-03
-2.51E-01,6.21E-03
-2.63E-01,5.83E-03
-2.54E-01,6.15E-03
-2.46E-01,6.15E-03
-2.38E-01,7.20E-03
-2.63E-01,7.33E-03
-2.53E-01,6.50E-03
-2.31E-01,7.44E-03
-2.44E-01,5.72E-03
-2.42E-01,6.90E-03
-2.54E-01,6.63E-03
-2.50E-01,5.74E-03
-2.33E-01,5.92E-03
-2.30E-01,6.38E-03
-2.15E-01,5.99E-03
-2.21E-01,7.39E-03
-2.22E-01,6.41E-03
-2.15E-01,7.05E-03
-2.11E-01,6.10E-03
-2.11E-01,6.46E-03
-2.02E-01,6.20E-03
-1.90E-01,6.69E-03
-2.04E-01,7.01E-03
-1.96E-01,6.50E-03
-2.17E-01,6.49E-03
-1.86E-01,6.18E-03
-1.67E-01,6.37E-03
-1.78E-01,5.84E-03
-1.87E-01,6.81E-03
-1.88E-01,6.00E-03
-2.05E-01,5.11E-03
-1.84E-01,6.11E-03
-1.95E-01,7.38E-03
-1.78E-01,5.75E-03
-1.66E-01,6.88E-03
-1.71E-01,5.91E-03
-2.00E-01,5.41E-03
-1.72E-01,6.56E-03
-1.44E-01,6.53E-03
-1.56E-01,6.11E-03
-1.63E-01,6.67E-03
-1.61E-01,6.27E-03
-1.55E-01,6.62E-03
-1.74E-01,6.93E-03
-1.76E-01,6.49E-03
-1.55E-01,5.93E-03
-1.48E-01,6.72E-03
-1.36E-01,7.01E-03
-1.37E-01,5.21E-03
-1.37E-01,6.21E-03
-1.58E-01,6.11E-03
-1.52E-01,6.64E-03
-1.42E-01,6.11E-03
-1.21E-01,6.47E-03
-1.16E-01,5.94E-03
-1.45E-01,6.92E-03
-1.12E-01,6.92E-03
-9.95E-02,7.65E-03
-1.19E-01,6.50E-03
-1.09E-01,6.30E-03
-1.18E-01,6.56E-03
-1.12E-01,5.35E-03
-8.83E-02,7.13E-03
-1.01E-01,6.81E-03
-9.29E-02,6.10E-03
