Normalized_intensity_increment,SE
-9.97E-01,2.85E-03
-9.97E-01,2.80E-03
-9.97E-01,2.81E-03
-9.97E-01,2.73E-03
-9.97E-01,2.98E-03
-9.97E-01,2.97E-03
-9.97E-01,2.89E-03
-9.97E-01,3.17E-03
-9.97E-01,3.21E-03
-9.97E-01,3.06E-03
-9.97E-01,3.31E-03
-9.97E-01,2.89E-03
-9.97E-01,2.59E-03
-9.99E-01,1.30E-03
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-9.91E-01,4.26E-03
-9.13E-01,1.10E-02
-8.88E-01,1.31E-02
-8.60E-01,1.32E-02
-8.49E-01,1.56E-02
-8.43E-01,1.68E-02
-8.53E-01,1.27E-02
-8.52E-01,1.54E-02
-8.51E-01,1.26E-02
-8.45E-01,1.25E-02
-8.42E-01,1.32E-02
-8.35E-01,1.75E-02
-8.40E-01,1.39E-02
-8.18E-01,1.55E-02
-8.02E-01,1.58E-02
-8.22E-01,1.56E-02
-8.18E-01,1.72E-02
-8.00E-01,1.81E-02
-8.25E-01,1.64E-02
-8.48E-01,1.47E-02
-7.71E-01,1.29E-02
-7.52E-01,1.37E-02
-7.46E-01,1.44E-02
-7.44E-01,1.35E-02
-7.65E-01,1.34E-02
-7.38E-01,1.39E-02
-7.35E-01,1.36E-02
-7.49E-01,1.21E-02
-7.35E-01,1.46E-02
-7.39E-01,1.23E-02
-7.43E-01,1.34E-02
-7.42E-01,1.36E-02
-7.28E-01,1.14E-02
-7.38E-01,1.40E-02
-7.36E-01,1.38E-02
-7.35E-01,1.38E-02
-7.41E-01,1.29E-02
-7.20E-01,1.34E-02
-7.30E-01,1.36E-02
-7.44E-01,1.13E-02
-7.17E-01,1.31E-02
-7.26E-01,1.50E-02
-7.13E-01,1.72E-02
-6.63E-01,9.18E-03
-6.70E-01,7.32E-03
-6.49E-01,9.21E-03
-6.58E-01,8.12E-03
-6.53E-01,9.30E-03
-6.41E-01,9.01E-03
-6.33E-01,9.08E-03
-6.35E-01,8.09E-03
-6.38E-01,7.89E-03
-6.25E-01,8.83E-03
-6.29E-01,8.55E-03
-6.34E-01,8.85E-03
-6.31E-01,8.64E-03
-6.14E-01,9.17E-03
-6.21E-01,7.83E-03
-6.29E-01,8.65E-03
-6.15E-01,1.06E-02
-6.15E-01,8.28E-03
-6.05E-01,9.70E-03
-5.93E-01,9.48E-03
-6.04E-01,8.80E-03
-6.02E-01,8.46E-03
-5.91E-01,1.01E-02
-6.02E-01,8.06E-03
-6.03E-01,1.01E-02
-6.45E-01,9.65E-03
-5.94E-01,9.22E-03
-5.80E-01,9.00E-03
-5.87E-01,8.20E-03
-6.01E-01,8.16E-03
-5.91E-01,7.78E-03
-6.03E-01,8.32E-03
-6.02E-01,7.92E-03
-5.87E-01,8.62E-03
-5.95E-01,8.05E-03
-5.76E-01,8.96E-03
-5.82E-01,8.74E-03
-5.75E-01,8.01E-03
-5.72E-01,8.00E-03
-5.80E-01,9.06E-03
-5.66E-01,8.95E-03
-5.66E-01,8.58E-03
-5.68E-01,9.38E-03
-5.59E-01,9.98E-03
-5.59E-01,1.03E-02
-5.56E-01,8.98E-03
-5.47E-01,9.59E-03
-5.55E-01,9.79E-03
-5.57E-01,8.74E-03
-5.44E-01,9.21E-03
-5.42E-01,9.12E-03
-5.47E-01,1.03E-02
-5.37E-01,1.01E-02
-5.33E-01,1.02E-02
-5.31E-01,9.49E-03
-5.52E-01,1.02E-02
-5.26E-01,9.39E-03
-5.25E-01,9.71E-03
-5.22E-01,9.32E-03
-5.22E-01,8.22E-03
-5.15E-01,9.90E-03
-5.24E-01,9.56E-03
-5.14E-01,8.92E-03
-5.07E-01,9.90E-03
-5.07E-01,8.91E-03
-5.12E-01,9.05E-03
-5.03E-01,1.08E-02
-4.96E-01,1.09E-02
-5.01E-01,1.05E-02
-4.90E-01,1.07E-02
-4.94E-01,9.25E-03
-4.90E-01,9.25E-03
-4.84E-01,9.90E-03
-4.82E-01,9.04E-03
-4.75E-01,9.17E-03
-4.86E-01,9.20E-03
-4.88E-01,9.34E-03
-4.74E-01,9.50E-03
-4.87E-01,9.28E-03
-4.85E-01,9.17E-03
-4.67E-01,9.16E-03
-4.72E-01,9.09E-03
-4.62E-01,9.17E-03
-4.68E-01,9.10E-03
-4.78E-01,8.49E-03
-4.55E-01,9.43E-03
-4.53E-01,1.00E-02
-4.63E-01,9.20E-03
-4.48E-01,1.02E-02
-4.63E-01,9.19E-03
-4.48E-01,9.21E-03
-4.42E-01,9.26E-03
-4.35E-01,7.14E-03
-4.39E-01,9.78E-03
-4.34E-01,8.65E-03
-4.36E-01,7.44E-03
-4.25E-01,8.74E-03
-4.27E-01,7.65E-03
-4.28E-01,7.39E-03
-4.28E-01,8.25E-03
-4.35E-01,8.07E-03
-4.29E-01,7.58E-03
-4.25E-01,7.15E-03
-4.11E-01,7.97E-03
-4.10E-01,8.70E-03
-4.19E-01,7.71E-03
-4.00E-01,7.94E-03
-4.00E-01,8.01E-03
-3.94E-01,7.06E-03
-3.98E-01,8.90E-03
-4.14E-01,8.94E-03
-3.98E-01,7.51E-03
-3.98E-01,8.40E-03
-3.97E-01,7.61E-03
-3.97E-01,8.01E-03
-3.81E-01,7.63E-03
-3.68E-01,8.04E-03
-3.79E-01,7.78E-03
-3.86E-01,7.06E-03
-3.87E-01,7.63E-03
-3.63E-01,1.01E-02
-3.51E-01,8.96E-03
-3.54E-01,8.05E-03
-3.69E-01,8.37E-03
-3.53E-01,8.66E-03
-3.43E-01,7.59E-03
-3.65E-01,7.38E-03
-3.50E-01,6.76E-03
-3.54E-01,8.20E-03
-3.40E-01,6.99E-03
-3.39E-01,7.06E-03
-3.52E-01,7.14E-03
-3.27E-01,7.74E-03
-3.28E-01,8.11E-03
-3.45E-01,6.84E-03
-3.26E-01,7.48E-03
-3.32E-01,6.92E-03
-3.17E-01,7.43E-03
-3.09E-01,8.00E-03
-3.13E-01,7.59E-03
-3.27E-01,7.91E-03
-3.13E-01,6.98E-03
-3.05E-01,8.20E-03
-3.00E-01,7.53E-03
-3.12E-01,7.74E-03
-2.97E-01,8.36E-03
-3.09E-01,7.97E-03
-3.05E-01,8.52E-03
-3.00E-01,7.41E-03
-3.08E-01,6.73E-03
-3.09E-01,7.47E-03
-3.12E-01,7.99E-03
-2.88E-01,7.78E-03
-2.90E-01,6.58E-03
-2.99E-01,7.11E-03
-2.84E-01,7.84E-03
-2.80E-01,7.94E-03
-2.81E-01,8.45E-03
-2.76E-01,7.97E-03
-2.67E-01,8.03E-03
-2.66E-01,8.27E-03
-2.77E-01,8.52E-03
-2.57E-01,8.73E-03
-2.64E-01,6.94E-03
-2.86E-01,7.72E-03
-2.50E-01,7.79E-03
-2.51E-01,8.32E-03
-2.58E-01,7.96E-03
-2.54E-01,8.91E-03
-2.33E-01,7.47E-03
-2.40E-01,8.11E-03
-2.50E-01,7.94E-03
-2.38E-01,8.19E-03
-2.55E-01,7.60E-03
-2.35E-01,8.55E-03
-2.38E-01,7.10E-03
-2.32E-01,7.29E-03
-2.33E-01,6.88E-03
-2.17E-01,7.80E-03
-2.18E-01,8.23E-03
-2.15E-01,7.27E-03
-2.18E-01,8.59E-03
-2.39E-01,6.81E-03
-2.22E-01,7.48E-03
-2.42E-01,7.06E-03
-2.12E-01,7.47E-03
-2.29E-01,8.04E-03
-2.23E-01,6.91E-03
-2.12E-01,7.47E-03
-2.25E-01,6.83E-03
-2.04E-01,7.77E-03
-2.17E-01,7.93E-03
-2.01E-01,7.17E-03
-1.86E-01,7.45E-03
-1.92E-01,7.88E-03
-1.94E-01,9.01E-03
-1.86E-01,7.22E-03
-1.94E-01,7.75E-03
-1.80E-01,8.75E-03
-1.98E-01,7.33E-03
-1.92E-01,7.11E-03
-1.79E-01,7.40E-03
-2.04E-01,7.24E-03
-1.87E-01,7.57E-03
-1.93E-01,8.81E-03
-2.03E-01,7.14E-03
-1.88E-01,7.80E-03
-1.96E-01,7.53E-03
-1.59E-01,8.63E-03
-1.68E-01,8.84E-03
-1.52E-01,8.98E-03
-1.80E-01,7.59E-03
-1.52E-01,8.58E-03
-1.63E-01,7.77E-03
-1.66E-01,7.65E-03
-1.46E-01,7.22E-03
-1.49E-01,7.38E-03
-1.55E-01,8.07E-03
-1.30E-01,8.31E-03
-1.29E-01,7.68E-03
-1.31E-01,7.91E-03
-1.22E-01,6.91E-03
-1.35E-01,8.11E-03
-1.50E-01,7.01E-03
-1.29E-01,8.93E-03
-1.16E-01,7.57E-03
-1.30E-01,9.18E-03
-1.32E-01,8.40E-03
-1.01E-01,7.80E-03
-1.14E-01,1.44E-02
-1.24E-01,1.42E-02
-1.05E-01,8.34E-03
-1.17E-01,1.41E-02
-1.27E-01,7.67E-03
-1.04E-01,6.70E-03
-1.16E-01,7.59E-03
-7.55E-02,8.41E-03
-9.38E-02,8.00E-03
-1.05E-01,7.48E-03
-1.02E-01,7.41E-03
-1.05E-01,7.35E-03
-1.10E-01,8.75E-03
-1.07E-01,8.38E-03
-8.63E-02,8.95E-03
-8.39E-02,7.60E-03
-6.71E-02,6.98E-03
-7.52E-02,6.64E-03
-6.25E-02,7.17E-03
-6.21E-02,7.08E-03
-7.36E-02,7.35E-03
-9.38E-02,7.28E-03
-5.68E-02,7.16E-03
-8.69E-02,1.43E-02
-9.04E-02,6.76E-03
-7.96E-02,8.23E-03
-4.08E-02,7.14E-03
-6.91E-02,8.40E-03
-4.72E-02,7.69E-03
-3.82E-02,8.20E-03
-6.06E-02,7.48E-03
-4.82E-02,7.99E-03
-7.30E-02,7.21E-03
-5.12E-02,7.62E-03
-2.90E-02,6.79E-03
-5.11E-02,7.64E-03
-2.83E-02,8.45E-03
-2.74E-02,8.00E-03
-3.15E-02,7.35E-03
-2.41E-02,7.89E-03
-6.33E-02,8.81E-03
-2.64E-02,7.57E-03
-1.07E-02,8.05E-03
-5.64E-03,7.45E-03
-3.90E-03,7.87E-03
-2.31E-02,8.24E-03
-2.15E-02,6.55E-03
3.53E-03,5.81E-03
5.55E-03,5.30E-03
-9.08E-03,4.53E-03
-9.59E-03,7.45E-03
1.71E-02,8.42E-03
8.96E-03,9.17E-03
1.29E-02,9.77E-03
2.68E-02,8.58E-03
1.32E-02,7.06E-03
-2.55E-04,1.06E-02
2.03E-02,7.78E-03
