type,salt_concentration,MLE,CI_lower,CI_higher
wt,15.0,3.5971729873534795,3.444476011415918,3.7566391689360215
wt,150.0,5.846903468515101,5.668160663226949,6.03128284487816
dwh,15.0,2.9600110883010924,2.8328379734832305,3.0928933193069836
dwh,150.0,8.506302587603475,8.117310563144109,8.91393561315747
