k_on,k_off,v_open,v_close,α,β,diff_mean,diff_std
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.1,2.4,17.23154010772705,0.23214405255692389
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.2,2.4,15.023361587524414,0.20437918006284428
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.3,2.4,13.062832927703857,0.17975377388542288
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.4,2.4,11.33645315170288,0.1579482509595987
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.5,2.4,9.831497478485108,0.13866691120818592
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.6,2.4,8.535966205596925,0.12164641807380976
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.7,2.4,7.438536643981934,0.10667366538899366
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.8,2.4,6.52852234840393,0.09361076696677811
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,0.9,2.4,5.795832824707031,0.0824288895117061
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.0,2.4,5.230936765670776,0.07325045511831954
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.1,2.4,4.82482681274414,0.06637571103225379
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.2,2.4,4.568989086151123,0.062253016350004325
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.3,2.4,4.455371379852295,0.06132357735968576
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.4,2.4,4.47635669708252,0.06377548739103579
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.5,2.4,4.624736404418945,0.06941160709429635
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.6,2.4,4.8936872482299805,0.07776647085643357
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.7,2.4,5.276747131347657,0.08832315706379809
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.8,2.4,5.767795181274414,0.10064835565940326
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.9,2.4,6.361031579971313,0.11442062107174125
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.0,2.4,7.050959062576294,0.12941268261916386
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.1,2.4,7.832365226745606,0.14546317508845003
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.2,2.4,8.700307083129882,0.16245337627434528
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.3,2.4,9.6500958442688,0.18029422211709878
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.4,2.4,10.67728157043457,0.19891302560307317
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.5,2.4,11.777641582489014,0.21825126236344783
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.6,2.4,12.947165870666504,0.23825662777671583
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.7,2.4,14.18204755783081,0.2588843145483388
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.8,2.4,15.478670501708985,0.28009263220323355
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,2.9,2.4,16.83359851837158,0.3018434622713471
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.0,2.4,18.243567085266115,0.324100702351263
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.1,2.4,19.705472946166992,0.346831715488201
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.2,2.4,21.216367340087892,0.3700048086130323
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.3,2.4,22.773444747924806,0.39359127547709927
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.4,2.4,24.374037742614746,0.417561722560543
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.5,2.4,26.01561031341553,0.441889615281142
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.6,2.4,27.695746994018556,0.4665500617465719
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.7,2.4,29.412151718139647,0.4915177175905629
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.8,2.4,31.162640190124513,0.5167722328853239
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,3.9,2.4,32.9451301574707,0.5422898093170744
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,4.0,2.4,34.75764274597168,0.5680503942154963
