time,extension,std
1,0.8118487704347409,0.0
2,0.8119380737994887,0.001186082551985894
3,0.8120354956519408,0.001704635892788253
4,0.8121897469183236,0.0022810133579216196
5,0.81229528725848,0.002592493509862239
6,0.812464963651501,0.0033802667864049137
7,0.8125705039916574,0.0036464948502484104
8,0.8127003997949269,0.003966398101378894
9,0.8128051282863129,0.004325169608925848
10,0.8128855013145861,0.004628065430033238
11,0.8129991601424469,0.004885768622085769
12,0.8131452929211253,0.005219948363596035
13,0.8132914256998033,0.005495905332896195
14,0.813363680240372,0.005745453087280212
15,0.8134935760436416,0.005922735483583241
16,0.8135812557108485,0.006185864319450001
17,0.8137273884895267,0.0064760129434676275
18,0.8139051833702522,0.006836342382882814
19,0.8140423858124555,0.007036000053807468
20,0.8141398076649076,0.007138812075196054
21,0.8142193688444104,0.007303351421589869
22,0.8143484527989094,0.007428232252744797
23,0.8144702301144746,0.007633102143880487
24,0.8145351780161094,0.007743204291285516
25,0.8146731923070833,0.007957401925717639
26,0.8147941577738781,0.008150490621691294
27,0.8149557156791947,0.00838410237399998
28,0.8150693745070555,0.008506874148575793
29,0.815174914847212,0.008640089993497592
30,0.8153454030890034,0.008883959722332097
31,0.8154590619168642,0.008970248161768349
32,0.815580027383659,0.009035917848990738
33,0.8157326549525008,0.00929733853878483
34,0.8158690455459338,0.009511091871013854
35,0.8160062479881373,0.009704106562241332
36,0.8161767362299286,0.009845741706006958
37,0.8163309874963112,0.009963665777297393
38,0.8163845695151598,0.010171578570429439
39,0.8165144653184293,0.010298665516058292
40,0.8166922601991544,0.010616953739219323
41,0.816846511465537,0.01071092680100787
42,0.8169577347470868,0.010863369862172649
43,0.8170957490380605,0.010951250166455605
44,0.8172175263536258,0.01105234944506312
45,0.8173303733327163,0.011132096197620458
46,0.8174188648486936,0.011201286369319066
47,0.8175544435933563,0.01138072848531015
48,0.8176437469581042,0.011409042820827577
49,0.8177330503228518,0.011587440765479868
50,0.8178946082281684,0.011716233634465046
51,0.8179993367195545,0.011766076679089422
52,0.8180886400843024,0.011866243150489984
53,0.8182022989121632,0.011953811387243113
54,0.8183484316908414,0.012037074540863857
55,0.8184864459818153,0.0121191620455532
56,0.8186228365752485,0.01226633851848088
57,0.8187673456563856,0.012480664480363588
58,0.8189126665862936,0.012591718292412787
59,0.8190482453309562,0.01280517807146024
60,0.8191927544120934,0.012938259929924933
61,0.8193526886198693,0.013050767916885097
62,0.8194809607255978,0.01320739437455346
63,0.8195946195534587,0.013284840497473561
64,0.8196644385477162,0.013485861065036377
65,0.8197772855268065,0.01351585981652292
66,0.8198803903206519,0.013692903777585745
67,0.8200086624263805,0.013818403140312435
68,0.8201434293222727,0.01402388641122139
69,0.8203374611784066,0.01410508633257844
70,0.8203926668947961,0.014140775784739453
71,0.8205526011025717,0.014322678683421122
72,0.8207450092611648,0.01455557305836793
73,0.8209138738054151,0.01465923311766165
74,0.8210267207845057,0.014755156008817254
75,0.8211866549922812,0.014836316858764183
76,0.821395300126283,0.015086040504678152
77,0.8214683665156222,0.015180869872990735
78,0.8215958267725805,0.015360012271550365
79,0.8217167922393751,0.015466501528967457
80,0.8218434406475629,0.015546852167593205
81,0.8219733364508325,0.01562807616549266
82,0.8220869952786933,0.015720692288976587
83,0.8222306925110604,0.01581966445701051
84,0.8223508461290847,0.015999478819651688
85,0.8224953552102221,0.016099996812504593
86,0.8226642197544726,0.016226062076351893
87,0.8228493212741316,0.016496601099050337
88,0.8229370009413387,0.016517428038436196
89,0.8230571545593629,0.016719219683209666
90,0.823210593976975,0.01681151717415374
91,0.8233396779314742,0.016894653855917346
92,0.8234849988613819,0.01691846407117942
93,0.8236124591183404,0.017098473183582458
94,0.823740731224069,0.017294456461474886
95,0.8238535782031594,0.017422494498190718
96,0.823981850308888,0.017514457057433208
97,0.8241020039269125,0.017702383134951278
98,0.8242229693937072,0.017718105751195635
99,0.8243106490609141,0.017751294051916482
100,0.8244527225957402,0.017795694874913993
101,0.8245639458772899,0.017897093271199434
102,0.8247222563875246,0.017974697075162353
103,0.8248253611813697,0.01815653131556129
104,0.8248951801756271,0.018243000283158527
105,0.8249990968182429,0.018375560774578414
106,0.8251233096801193,0.018533953633376465
107,0.8252523936346184,0.01863698745662356
108,0.8253969027157558,0.018812375905331028
109,0.825514620787469,0.018952013792252642
110,0.8256664365075402,0.01901259031956722
111,0.8258279944128567,0.019102446315367817
112,0.8259903641669437,0.01918645021774531
113,0.8260861623218548,0.01928204078055251
114,0.826213622578813,0.01940677458822594
115,0.8263013022460202,0.0195889566308699
116,0.8264117136787993,0.019607053209907944
117,0.826596003349688,0.019626999317947855
118,0.8267234636066462,0.019736095538497964
119,0.8268687845365541,0.019791191979225364
120,0.8270035514324462,0.01993242580725309
121,0.8271716041279262,0.019943118022385894
122,0.8272982525361139,0.020086075779869067
123,0.8274013573299592,0.020179902140205014
124,0.8274971554848705,0.02021125327899895
125,0.8276026958250271,0.02025179910550127
126,0.8277610063352618,0.020379213981594365
127,0.8278706059192705,0.020449204738484668
128,0.8279493552500027,0.020533768666604942
129,0.8280524600438479,0.020721637252129884
130,0.8282278193782618,0.020814487569048763
131,0.8283146871966984,0.020917061601481584
132,0.8284421474536564,0.021011857867355842
133,0.8285541825839766,0.020982008488591265
134,0.8287149286405225,0.02102517642788749
135,0.828865120663053,0.021116552693234744
136,0.8290071941978792,0.021199703340817815
137,0.8291581980691799,0.021342559173955587
138,0.8292588673167138,0.021396974940402536
139,0.8293449232863801,0.021563716180293267
140,0.829481313879813,0.02160446478294399
