k_on,k_off,v_open,v_close,α,β,L,exp_label
9.999999999999999e-6,3.1622776601683795e-5,1.0e-5,0.001,3.5,12.6,5000,wt_15mM_salt
1.0e-5,0.001,3.162277660168379e-6,0.001,5.0,9.0,5000,wt_150mM_salt
