salt_concentration,k₊₂₀,k₋₂₀,Kd₂₀,Kd₃₀
wt_15mM_salt,1.0e6 M^-1 s^-1,1.778279410038923e-5 s^-1,1.778279410038923e-11 M,9.944080326911653e-14 M
wt_150mM_salt,562341.325190349 M^-1 s^-1,3.16227766016838e-5 s^-1,5.623413251903493e-11 M,1.3026311789050192e-12 M
