time,ABCD,ABC,sd_ABCD,sd_ABC
1.0,0.024,0.0,0.023033156878497434,0.0
2.0,0.045000000000000005,0.002,0.031539448982270804,0.00894427190999916
3.0,0.063,0.004,0.037570985445798746,0.008207826816681233
4.0,0.08549999999999999,0.006,0.03804083678309265,0.011424811411549588
5.0,0.1065,0.007000000000000001,0.04068815940527998,0.014903196407411895
6.0,0.12449999999999999,0.009,0.04489461343846802,0.015183093090324964
7.0,0.14249999999999996,0.008,0.05138861229576267,0.01361114094757441
8.0,0.16499999999999998,0.009,0.05462792808001956,0.013726654823065194
9.0,0.174,0.013000000000000001,0.06125013426408485,0.014903196407411893
10.0,0.198,0.008,0.06412159501578561,0.011964860832322375
11.0,0.213,0.011,0.06522027453580916,0.013726654823065194
12.0,0.22649999999999998,0.012,0.05546691759389935,0.011964860832322377
13.0,0.24450000000000002,0.013000000000000001,0.06253209702140763,0.01750187959830841
14.0,0.26250000000000007,0.012,0.06298496061091009,0.013611140947574412
15.0,0.2685,0.018,0.0626834150817885,0.021423056934551907
16.0,0.273,0.021,0.05912520167986077,0.021001253095445215
17.0,0.2955,0.02,0.06549206460568936,0.01835325870964494
18.0,0.3075,0.019000000000000003,0.06804603704768367,0.01651155894963793
19.0,0.318,0.019000000000000003,0.0641215950157856,0.01651155894963793
20.0,0.327,0.018999999999999996,0.05582868532630119,0.018890264827766654
21.0,0.3435,0.018999999999999996,0.0626834150817885,0.01774082416646034
22.0,0.35400000000000004,0.018999999999999996,0.06125013426408485,0.01651155894963793
23.0,0.35850000000000004,0.024,0.06491087006527935,0.0221002500581233
24.0,0.37950000000000006,0.024,0.07170663919933186,0.017888543819998316
25.0,0.38249999999999995,0.024999999999999998,0.07144191604668125,0.02139847510553276
26.0,0.3885,0.028000000000000004,0.07875845819238786,0.0198944583661936
27.0,0.3855,0.036,0.07430201527337069,0.02643761275949575
28.0,0.40499999999999997,0.028999999999999998,0.07251134212550549,0.025526044491233284
29.0,0.41100000000000003,0.034999999999999996,0.06820248490611189,0.028191077349141218
30.0,0.4185,0.03200000000000001,0.065636559132368,0.02546411303445653
31.0,0.4215000000000001,0.03400000000000001,0.0626834150817885,0.026832815729997475
32.0,0.4305,0.037000000000000005,0.051756006516406536,0.030625067132042428
33.0,0.426,0.041,0.058074362492819234,0.03076224617081276
34.0,0.4379999999999999,0.033999999999999996,0.053665631459994964,0.028358605859875933
35.0,0.4454999999999999,0.034,0.046957427527495585,0.027606254058779773
36.0,0.4499999999999999,0.034,0.055059776128934826,0.025214866124653734
37.0,0.45299999999999996,0.034,0.05141165135197315,0.026832815729997475
38.0,0.4499999999999999,0.039,0.055059776128934826,0.027890764364608318
39.0,0.45899999999999996,0.036000000000000004,0.05427997595314211,0.027984958365822918
40.0,0.46499999999999997,0.037,0.05286527066142065,0.027739388677664224
41.0,0.4739999999999999,0.033,0.06047182902197649,0.028488224714229227
42.0,0.47999999999999987,0.034,0.06078434701553734,0.027606254058779773
43.0,0.4875,0.033999999999999996,0.0659245980767342,0.023485717944495995
44.0,0.4875,0.037000000000000005,0.07210190157358068,0.02921787484616764
45.0,0.48900000000000005,0.04,0.06889351050333903,0.030435436410107285
46.0,0.49050000000000005,0.044,0.0662113839790489,0.03218368334551237
47.0,0.49800000000000005,0.040999999999999995,0.06771457123762017,0.03522857691674399
48.0,0.5010000000000001,0.03899999999999999,0.06608606828260122,0.033387675002989704
49.0,0.501,0.041999999999999996,0.07025517399938748,0.032379330639029265
50.0,0.5025000000000001,0.040999999999999995,0.0673463162748303,0.0333876750029897
51.0,0.5085,0.040999999999999995,0.07506313132430945,0.03007009355349247
52.0,0.507,0.040999999999999995,0.07211832382674287,0.03210181172129501
53.0,0.5055,0.045,0.07366174469545878,0.029647046537910865
54.0,0.5145000000000001,0.045,0.07803339366140491,0.02892822333402378
55.0,0.522,0.044,0.07688679306206249,0.027222281895148824
56.0,0.522,0.044,0.07750042444705503,0.026437612759495754
57.0,0.5246999999999999,0.0457,0.07640411948111313,0.029474520664822573
58.0,0.5292,0.0447,0.07812378841165778,0.029302595537992155
59.0,0.5292,0.0477,0.07872777881977071,0.03369382264170283
60.0,0.5337,0.0477,0.07462262955769693,0.03176409757472801
61.0,0.5321999999999999,0.0507,0.0716861581001374,0.03541201104591194
62.0,0.5367,0.0497,0.07731623374169232,0.03439262466836382
63.0,0.5382,0.0497,0.07828127422785632,0.033774951790062596
64.0,0.5472,0.0507,0.0754841217182723,0.03376871800630687
65.0,0.5457,0.0517,0.08308087372522853,0.03614168026851518
66.0,0.5517,0.0497,0.07393389650648463,0.03314577054864101
67.0,0.5517000000000001,0.05169999999999999,0.07198618288474386,0.034776126112153735
68.0,0.5502,0.05469999999999999,0.07698776389448966,0.035684435645928624
69.0,0.5517000000000001,0.057699999999999994,0.0752043531774731,0.03800983252292823
70.0,0.5547000000000001,0.05669999999999999,0.07590652145896294,0.036112543381402594
71.0,0.5562,0.054700000000000006,0.07774695797061267,0.03868509845024649
72.0,0.5591999999999999,0.057699999999999994,0.07074163517595859,0.03631021314929683
73.0,0.5591999999999999,0.058699999999999995,0.07272268885075833,0.0372206790288466
74.0,0.5667,0.055700000000000006,0.0662285516422606,0.034508732685784735
75.0,0.5667,0.05770000000000001,0.06178834841618604,0.03347442071351293
76.0,0.5652000000000001,0.06070000000000001,0.0678989961944249,0.039058795087460275
77.0,0.5757,0.05970000000000001,0.059252448317170386,0.035388222840225726
78.0,0.5742,0.06470000000000001,0.059781708168794814,0.033524696317161394
79.0,0.5802,0.06170000000000001,0.06137683430638701,0.03413456343726446
