mean_fraction_exposure,std_fraction_exposure,fold
0.7174679999999999,0.03133340064467303,0
0.6558039999999999,0.032503886076914096,1
0.494664,0.03604511068148362,4
0.3162499999999999,0.029703686469847307,10
0.158486,0.024922964218859395,25
0.091876,0.020528389408747384,50
