time,fold,D1,size,id
1861,1,1000.0,28,9
1861,1,1000.0,16,9
1861,1,1000.0,43,9
1861,1,1000.0,76,9
1861,1,1000.0,60,9
1861,1,1000.0,8,9
1861,1,1000.0,7,9
1921,1,1000.0,78,9
1921,1,1000.0,31,9
1921,1,1000.0,15,9
1921,1,1000.0,34,9
1921,1,1000.0,1,9
1921,1,1000.0,22,9
1921,1,1000.0,27,9
1921,1,1000.0,32,9
1921,1,1000.0,20,9
2401,1,1000.0,53,9
2401,1,1000.0,6,9
2401,1,1000.0,25,9
2401,1,1000.0,4,9
2401,1,1000.0,6,9
2401,1,1000.0,36,9
2401,1,1000.0,4,9
2401,1,1000.0,9,9
2401,1,1000.0,19,9
2401,1,1000.0,15,9
2401,1,1000.0,33,9
1801,1,1000.0,34,10
1801,1,1000.0,25,10
1801,1,1000.0,4,10
1801,1,1000.0,73,10
1801,1,1000.0,28,10
1801,1,1000.0,58,10
1801,1,1000.0,10,10
1801,1,1000.0,58,10
1861,1,1000.0,35,10
1861,1,1000.0,29,10
1861,1,1000.0,2,10
1861,1,1000.0,3,10
1861,1,1000.0,23,10
1861,1,1000.0,62,10
1861,1,1000.0,60,10
1861,1,1000.0,86,10
1921,1,1000.0,99,10
1921,1,1000.0,40,10
1921,1,1000.0,5,10
1921,1,1000.0,37,10
1921,1,1000.0,57,10
1921,1,1000.0,2,10
1921,1,1000.0,45,10
1921,1,1000.0,45,10
2401,1,1000.0,6,10
2401,1,1000.0,24,10
2401,1,1000.0,30,10
2401,1,1000.0,7,10
2401,1,1000.0,45,10
2401,1,1000.0,37,10
2401,1,1000.0,29,10
2401,1,1000.0,10,10
2401,1,1000.0,22,10
1801,4,1000.0,16,11
1801,4,1000.0,85,11
1801,4,1000.0,21,11
1801,4,1000.0,64,11
1801,4,1000.0,6,11
1801,4,1000.0,168,11
1861,4,1000.0,23,11
1861,4,1000.0,60,11
1861,4,1000.0,5,11
1861,4,1000.0,76,11
1861,4,1000.0,92,11
1861,4,1000.0,24,11
1861,4,1000.0,40,11
1921,4,1000.0,48,11
1921,4,1000.0,36,11
1921,4,1000.0,93,11
1921,4,1000.0,42,11
1921,4,1000.0,66,11
1921,4,1000.0,19,11
1921,4,1000.0,16,11
2401,4,1000.0,55,11
2401,4,1000.0,38,11
2401,4,1000.0,24,11
2401,4,1000.0,7,11
2401,4,1000.0,33,11
2401,4,1000.0,17,11
2401,4,1000.0,74,11
2401,4,1000.0,9,11
2401,4,1000.0,3,11
1801,4,1000.0,1,12
1801,4,1000.0,7,12
1801,4,1000.0,9,12
1801,4,1000.0,20,12
1801,4,1000.0,27,12
1801,4,1000.0,15,12
1801,4,1000.0,18,12
1801,4,1000.0,46,12
1801,4,1000.0,17,12
1801,4,1000.0,40,12
1861,4,1000.0,23,12
1861,4,1000.0,35,12
1861,4,1000.0,8,12
1861,4,1000.0,31,12
1861,4,1000.0,7,12
1861,4,1000.0,12,12
1861,4,1000.0,1,12
1861,4,1000.0,64,12
1861,4,1000.0,27,12
1861,4,1000.0,32,12
1921,4,1000.0,4,12
1921,4,1000.0,25,12
1921,4,1000.0,9,12
1921,4,1000.0,27,12
1921,4,1000.0,29,12
1921,4,1000.0,47,12
1921,4,1000.0,6,12
1921,4,1000.0,45,12
1921,4,1000.0,16,12
1921,4,1000.0,2,12
2401,4,1000.0,33,12
2401,4,1000.0,9,12
2401,4,1000.0,8,12
2401,4,1000.0,13,12
2401,4,1000.0,18,12
2401,4,1000.0,23,12
2401,4,1000.0,3,12
2401,4,1000.0,15,12
