time,fold,D1,size,id
1801,0,100.0,86,1
1801,0,100.0,45,1
1801,0,100.0,7,1
1801,0,100.0,144,1
1801,0,100.0,16,1
1801,0,100.0,21,1
1801,0,100.0,41,1
1861,0,100.0,131,1
1861,0,100.0,5,1
1861,0,100.0,12,1
1861,0,100.0,121,1
1861,0,100.0,39,1
1861,0,100.0,31,1
1861,0,100.0,21,1
1921,0,100.0,181,1
1921,0,100.0,2,1
1921,0,100.0,45,1
1921,0,100.0,8,1
1921,0,100.0,51,1
1921,0,100.0,33,1
1921,0,100.0,40,1
2401,0,100.0,67,1
2401,0,100.0,64,1
2401,0,100.0,105,1
2401,0,100.0,20,1
2401,0,100.0,47,1
2401,0,100.0,20,1
2401,0,100.0,7,1
1801,0,100.0,22,2
1801,0,100.0,41,2
1801,0,100.0,4,2
1801,0,100.0,23,2
1801,0,100.0,9,2
1801,0,100.0,45,2
1801,0,100.0,7,2
1801,0,100.0,51,2
1801,0,100.0,63,2
1801,0,100.0,5,2
1861,0,100.0,37,2
1861,0,100.0,18,2
1861,0,100.0,20,2
1861,0,100.0,7,2
1861,0,100.0,13,2
1861,0,100.0,17,2
1861,0,100.0,68,2
1861,0,100.0,13,2
1861,0,100.0,29,2
1861,0,100.0,48,2
1921,0,100.0,3,2
1921,0,100.0,40,2
1921,0,100.0,62,2
1921,0,100.0,20,2
1921,0,100.0,5,2
1921,0,100.0,8,2
1921,0,100.0,22,2
1921,0,100.0,25,2
1921,0,100.0,36,2
1921,0,100.0,39,2
2401,0,100.0,20,2
2401,0,100.0,16,2
2401,0,100.0,3,2
2401,0,100.0,19,2
2401,0,100.0,17,2
2401,0,100.0,115,2
2401,0,100.0,7,2
2401,0,100.0,8,2
2401,0,100.0,55,2
1801,0,100.0,31,3
1801,0,100.0,18,3
1801,0,100.0,8,3
1801,0,100.0,7,3
1801,0,100.0,32,3
1801,0,100.0,4,3
1801,0,100.0,57,3
1801,0,100.0,85,3
1801,0,100.0,24,3
1801,0,100.0,14,3
1861,0,100.0,50,3
1861,0,100.0,13,3
1861,0,100.0,8,3
1861,0,100.0,29,3
1861,0,100.0,1,3
1861,0,100.0,15,3
1861,0,100.0,39,3
1861,0,100.0,94,3
1861,0,100.0,31,3
1921,0,100.0,7,3
1921,0,100.0,13,3
1921,0,100.0,116,3
1921,0,100.0,27,3
1921,0,100.0,10,3
1921,0,100.0,3,3
1921,0,100.0,6,3
