mean_fraction_exposure,std_fraction_exposure,fold
0.651848,0.03431918060758091,0
0.58025,0.03428621509374497,1
0.43415,0.03613370652831989,4
0.265134,0.028310729735946727,10
0.12694399999999997,0.02411367154863721,25
0.069414,0.016853264647922948,50
0.040507999999999995,0.01127988895998072,100
0.029666,0.010833619763113212,200
