time,extension,std
1,0.8684520883667368,0.0
2,0.868646621634531,0.0016503257318295603
3,0.8688411549023252,0.0022847725176005263
4,0.8689384215362222,0.0025265349702297806
5,0.8692302214379134,0.003899567565943453
6,0.8692302214379134,0.003899567565943453
7,0.8694247547057076,0.0041258143295739005
8,0.869911087875193,0.00483794613838469
9,0.869911087875193,0.00483794613838469
10,0.870105621142987,0.005486454055053302
11,0.8702028877768841,0.005525100604990262
12,0.8703001544107813,0.005558376934505517
13,0.8704495281699803,0.006940141630192199
14,0.8706440614377744,0.007215651534137019
15,0.8707413280716716,0.007674349972072959
16,0.8711303946072597,0.007674349972072959
17,0.8711303946072597,0.007674349972072959
18,0.8712276612411569,0.007663543926061667
19,0.8715194611428481,0.0082296102621888
20,0.8716167277767451,0.00840078194364373
21,0.8719085276784363,0.008495443845231243
22,0.8719085276784363,0.008495443845231243
23,0.8720057943123335,0.0084550237528879
24,0.8722003275801277,0.008554710769974602
25,0.8722975942140246,0.008692446296548244
26,0.8722975942140246,0.008692446296548244
27,0.8724921274818189,0.008949833100286976
28,0.8725893941157159,0.009070068807779589
29,0.8726866607496131,0.009358706618892813
30,0.8727839273835101,0.009294866659554556
31,0.8727839273835101,0.009294866659554556
32,0.8730757272852014,0.009595920063964907
33,0.8731729939190984,0.00952040215985875
34,0.8731729939190984,0.00952040215985875
35,0.8733675271868926,0.009527142283574798
36,0.8735620604546867,0.009520402159858748
37,0.8735620604546867,0.009520402159858748
38,0.8736593270885836,0.009595920063964907
39,0.8737565937224808,0.00950014931915861
40,0.873853860356378,0.009897958881035564
41,0.873951126990275,0.010119421477924391
42,0.8741456602580692,0.010075250097651157
43,0.8743401935258633,0.010175897186592887
44,0.8745347267936574,0.009947830398888672
45,0.8747292600614516,0.010337108705046467
46,0.8748265266953485,0.010214910433891887
47,0.8750210599631427,0.01011469918871785
48,0.8751183265970399,0.010138285947309684
49,0.8754101264987311,0.010497063467870767
50,0.8754101264987311,0.010497063467870767
51,0.8755073931326282,0.010804679671139456
52,0.8756046597665254,0.010664732254546727
53,0.8757019264004223,0.010961364448247194
54,0.8761882595699076,0.01093975195516947
55,0.8762855262038048,0.01078125132624491
56,0.8762855262038048,0.01078125132624491
57,0.8764800594715989,0.011035923596556075
58,0.8766745927393931,0.011548370259758623
59,0.87677185937329,0.011522529598549686
60,0.8769663926410842,0.01146244054140539
61,0.8769663926410842,0.01146244054140539
62,0.8769663926410842,0.01146244054140539
63,0.8769663926410842,0.01146244054140539
64,0.8770636592749814,0.011428143204055847
65,0.8769212331324893,0.011798258507081228
66,0.8769212331324893,0.011798258507081228
67,0.8769212331324893,0.011798258507081228
68,0.8771157664002833,0.012006479108005475
69,0.8771157664002833,0.012006479108005475
70,0.8770706068916884,0.012368208660352648
71,0.8773624067933795,0.012660203652944114
72,0.8775117805525786,0.012618889213741056
73,0.8776090471864756,0.012574112968655236
74,0.8777063138203728,0.01305915233895285
75,0.8776611543117776,0.013459830487337596
76,0.8779529542134689,0.013445752913617116
77,0.8782447541151602,0.013408553264236777
78,0.87815443509797,0.013764106021352088
79,0.8782517017318672,0.013964301180312506
80,0.8783489683657643,0.014033593950433422
81,0.8784010754910663,0.014062187776934198
82,0.8785956087588604,0.01393957460127839
83,0.8785956087588604,0.01393957460127839
84,0.8786998230094644,0.01482773387422056
85,0.8787970896433616,0.015007471074290672
86,0.8789916229111555,0.01487746666767983
87,0.8790888895450526,0.015167997763519278
88,0.8791861561789498,0.014978704770811261
89,0.8792834228128468,0.015025414604374038
90,0.8794779560806409,0.015346208790855995
91,0.8796724893484351,0.015304237225342372
92,0.879724596473737,0.014694511876104944
93,0.8798739702329362,0.014954938914945516
94,0.8799712368668332,0.01498795796642165
95,0.8799712368668332,0.01498795796642165
96,0.8799712368668332,0.01498795796642165
97,0.8799712368668332,0.01498795796642165
98,0.8803603034024214,0.01545249101651182
99,0.8806069437955176,0.015103557053993874
100,0.8808014770633117,0.015253698892048608
101,0.8808014770633117,0.015253698892048608
102,0.8808014770633117,0.015253698892048608
103,0.8809960103311059,0.015510768598540807
104,0.8810932769650031,0.015398387646498812
105,0.8810932769650031,0.015398387646498812
106,0.8810932769650031,0.015398387646498812
107,0.8810932769650031,0.015398387646498812
108,0.8813399173580991,0.016172010666230585
109,0.8813399173580991,0.016172010666230585
110,0.8816317172597903,0.01639050219567215
111,0.8818262505275847,0.016258265675192507
112,0.8821180504292757,0.016097924849955897
113,0.8825071169648641,0.01600468095940039
114,0.882604383598761,0.01643577805669839
115,0.8827989168665554,0.016143124168059395
116,0.8829934501343494,0.01618469924056126
117,0.8830907167682465,0.01637348144375218
118,0.8830907167682465,0.01637348144375218
119,0.8832852500360406,0.016400703539784213
120,0.8833825166699376,0.016354163180602774
121,0.883577049937732,0.01692344345565005
122,0.883674316571629,0.016872225212418237
123,0.8836291570630339,0.01709864294321182
124,0.8836291570630339,0.01709864294321182
125,0.8838236903308281,0.017210348390687694
126,0.8838757974561301,0.017886885300194343
127,0.8838757974561301,0.017886885300194343
128,0.8839730640900271,0.018041647870436547
129,0.8843621306256155,0.01832380866122117
130,0.8844593972595125,0.018363222487947976
131,0.8847060376526086,0.01858467540645405
132,0.8848033042865058,0.01861753705560605
133,0.8849978375542997,0.01887384551965132
134,0.8851472113134988,0.019697519919859536
135,0.8852444779473959,0.019721106007764524
136,0.885341744581293,0.01974277260374094
137,0.8854911183404922,0.020517783957582376
138,0.8856404920996913,0.020922922700353005
139,0.8858350253674855,0.020862252572489706
140,0.8857898658588904,0.020933991575891032
