k_on,k_off,v_open,v_close,α,β,L,exp_label,loss
9.999999999999999e-6,1.7782794100389232e-5,1.0e-6,0.00023713737056616562,1.0,3.6,5000,wt_15mM_salt,5.483646392822266
5.62341325190349e-6,4.2169650342858236e-5,1.778279410038923e-5,0.0007498942093324566,1.5,2.4,5000,wt_150mM_salt,4.366124153137207
