time,extension,std
1,0.3331637899824312,0.0
2,0.33511835088366143,0.016961931010251924
3,0.33707291178489174,0.02374175772994743
4,0.33707291178489174,0.02374175772994743
5,0.33383011756239606,0.009892399054144763
6,0.33936063647610437,0.03584058143605278
7,0.33936063647610437,0.035840581436052774
8,0.33936063647610437,0.035840581436052774
9,0.33936063647610437,0.03584058143605278
10,0.338072403154839,0.03573055363902291
11,0.34036012784605174,0.04246851652255898
12,0.342314688747282,0.046564381558644674
13,0.3446024134384947,0.061885172845350146
14,0.350132932352203,0.06429190883507067
15,0.35242065704341574,0.07067787792559699
16,0.34464683527715895,0.0640570544453689
17,0.34660139617838925,0.059568686286003786
18,0.3517987513021152,0.07549411190269603
19,0.36023890064833675,0.07355163758250406
20,0.3605720644383192,0.0796387103201445
21,0.3544196397833103,0.07338831251825564
22,0.3547528035732927,0.08160766891371637
23,0.36028332248700107,0.08297444262656618
24,0.36190471959824894,0.08581023114143647
25,0.3638592804994792,0.08448575887608989
26,0.37067803273445293,0.08501725222927181
27,0.3710111965244353,0.08150844203500673
28,0.3716775241044002,0.09429439632704915
29,0.36714649656063914,0.0853916223924112
30,0.36714649656063914,0.10239140561680288
31,0.37720804301810856,0.08831551803400058
32,0.3742984125855953,0.08962371524290394
33,0.3811171648205692,0.09293172331930034
34,0.38049525907926857,0.09968482154324639
35,0.37887386196802075,0.09786985319025375
36,0.3775856286467553,0.09415831023202118
37,0.38507070846169394,0.10437195167839666
38,0.38864666647417206,0.11156377507473059
39,0.38540387225167644,0.103162015196787
40,0.3792514475966675,0.11608438241080647
41,0.39126755495536714,0.1049658618319467
42,0.3847819665103759,0.09971942881930747
43,0.38349373318911045,0.10978965293637602
44,0.38835792452285395,0.11983115294091003
45,0.38382689697909284,0.11830159139460943
46,0.38740285499157096,0.10886417256984847
47,0.39388844343656226,0.10536205159063286
48,0.39388844343656226,0.10348737803011815
49,0.400707195671536,0.12735812996742152
50,0.3929333739052793,0.1213858925006437
51,0.3900237434727661,0.10826846922046698
52,0.3984638928189877,0.11534114209680224
53,0.39231146816397877,0.11377469706437612
54,0.40141794509016526,0.11581525817127529
55,0.3968869175464042,0.1264615661717209
56,0.40694846400387363,0.12577123314318553
57,0.4020842726701301,0.1319087874574324
58,0.3975532451263691,0.12641766310632874
59,0.4056602306826082,0.11837566128663243
60,0.3943104509038734,0.11809311056824946
61,0.4056602306826082,0.11502889860265011
62,0.40503832494130765,0.11611104880528389
63,0.410568843855016,0.13524380659424737
64,0.41738759608998977,0.14840591841660425
65,0.41643252655870683,0.14144199938721594
66,0.4119014990149457,0.15066041082196055
67,0.4112795932736452,0.1307669698789839
68,0.42815989196608845,0.13388820413806024
69,0.43173584997856645,0.14426818669781674
70,0.43273534134851377,0.1485165335284212
71,0.4246283557922746,0.14442923091706544
72,0.41652137023603547,0.13097086407088282
73,0.42529468337223947,0.13682436497539782
74,0.41232350648225685,0.13057891843255898
75,0.4304920384959654,0.1429964278259334
76,0.43731079073093915,0.154377764722132
77,0.4298701327546649,0.16935997045138076
78,0.423717708099656,0.13877110024311418
79,0.4337792545571254,0.13725145225517874
80,0.4373552125696036,0.15169287308557666
81,0.4490381561383207,0.1521116515748885
82,0.43640014303832053,0.15981359721991106
83,0.43640014303832053,0.166286401916496
84,0.4338236763957897,0.16478230541228772
85,0.4322022792845419,0.15566229012224062
86,0.4370664706182854,0.15073323165116512
87,0.4370664706182854,0.1651056603130743
88,0.43902103151951566,0.15295800480984
89,0.44874941418700265,0.16786789991366807
90,0.4523253721994807,0.17072473233981703
91,0.4581890549031715,0.17026581376008085
92,0.4468392751244368,0.1701745668146696
93,0.45981045201441934,0.16946289497002315
94,0.4569008215819061,0.15637968118711434
95,0.44717243891441916,0.1663555820515594
96,0.45723398537188864,0.16676840005998086
97,0.4458842055931537,0.15690921553648018
98,0.4462173693831362,0.15377010906210511
99,0.4598548738530837,0.16218569470469718
100,0.4614762709643315,0.16949041769629808
101,0.4585666405318184,0.1714899755528137
102,0.4585666405318184,0.1680038881015429
103,0.47153781742180095,0.17762100482352375
104,0.45208105208682703,0.17947562540500134
105,0.4410644360980746,0.1501476999488277
106,0.4586110623704826,0.16826872932234682
107,0.4605656232717129,0.15385606251162007
108,0.47258173063041253,0.1699908312789325
109,0.45507952619666886,0.17186503680944215
110,0.4586554842091469,0.16461909111387632
111,0.47682401622285553,0.17601877174740083
112,0.46614056402408555,0.16355251788207298
113,0.4635640973815548,0.1787350736294926
114,0.4749138771602896,0.16991849114619487
115,0.4865968207290068,0.15699580339099253
116,0.4720042467277763,0.18922474377436097
117,0.4658518220727675,0.1845043349512864
118,0.47820109322144955,0.17146270147557116
119,0.4765796961102018,0.17468593360440896
120,0.4658962439114318,0.18934428913945633
121,0.4707604352451753,0.1776332824327273
122,0.4804888179126623,0.1674165749458639
123,0.4856861730363883,0.1845790842558814
124,0.47824551506011387,0.18429058821733685
125,0.4785786788500963,0.15924800242076503
126,0.4821546368625744,0.1965737320280698
127,0.47404765130633525,0.1720178035885788
128,0.4957921413325219,0.17821228674224396
129,0.4730925817750523,0.16489853048201839
130,0.5042322906787435,0.17330494210188252
131,0.48673008624499975,0.18222423702678062
