time,fold,D1,size,id
1801,0,100.0,65,1
1801,0,100.0,140,1
1801,0,100.0,50,1
1801,0,100.0,45,1
1801,0,100.0,12,1
1801,0,100.0,48,1
1861,0,100.0,160,1
1861,0,100.0,14,1
1861,0,100.0,8,1
1861,0,100.0,11,1
1861,0,100.0,107,1
1861,0,100.0,50,1
1921,0,100.0,144,1
1921,0,100.0,83,1
1921,0,100.0,19,1
1921,0,100.0,37,1
1921,0,100.0,73,1
1921,0,100.0,14,1
2401,0,100.0,49,1
2401,0,100.0,83,1
2401,0,100.0,52,1
2401,0,100.0,80,1
2401,0,100.0,24,1
2401,0,100.0,72,1
1801,0,100.0,42,2
1801,0,100.0,33,2
1801,0,100.0,3,2
1801,0,100.0,63,2
1801,0,100.0,25,2
1801,0,100.0,1,2
1801,0,100.0,101,2
1801,0,100.0,32,2
1861,0,100.0,14,2
1861,0,100.0,46,2
1861,0,100.0,73,2
1861,0,100.0,1,2
1861,0,100.0,49,2
1861,0,100.0,50,2
1861,0,100.0,40,2
1861,0,100.0,17,2
1921,0,100.0,13,2
1921,0,100.0,41,2
1921,0,100.0,14,2
1921,0,100.0,25,2
1921,0,100.0,111,2
1921,0,100.0,11,2
1921,0,100.0,10,2
1921,0,100.0,75,2
2401,0,100.0,26,2
2401,0,100.0,83,2
2401,0,100.0,20,2
2401,0,100.0,16,2
2401,0,100.0,69,2
2401,0,100.0,52,2
2401,0,100.0,34,2
1801,0,100.0,117,3
1801,0,100.0,58,3
1801,0,100.0,3,3
1801,0,100.0,74,3
1801,0,100.0,32,3
1801,0,100.0,11,3
1801,0,100.0,35,3
1861,0,100.0,155,3
1861,0,100.0,6,3
1861,0,100.0,110,3
1861,0,100.0,9,3
1861,0,100.0,5,3
1861,0,100.0,41,3
1861,0,100.0,4,3
1921,0,100.0,23,3
1921,0,100.0,65,3
1921,0,100.0,83,3
1921,0,100.0,103,3
1921,0,100.0,3,3
1921,0,100.0,9,3
1921,0,100.0,34,3
2401,0,100.0,36,3
2401,0,100.0,26,3
