time,fold,D1,size,id
1801,0,0.001,63,1
1801,0,0.001,14,1
1801,0,0.001,10,1
1801,0,0.001,76,1
1801,0,0.001,217,1
1861,0,0.001,62,1
1861,0,0.001,15,1
1861,0,0.001,10,1
1861,0,0.001,76,1
1861,0,0.001,217,1
1921,0,0.001,62,1
1921,0,0.001,15,1
1921,0,0.001,10,1
1921,0,0.001,76,1
1921,0,0.001,217,1
2401,0,0.001,60,1
2401,0,0.001,16,1
2401,0,0.001,12,1
2401,0,0.001,75,1
2401,0,0.001,217,1
1801,0,0.001,72,2
1801,0,0.001,18,2
1801,0,0.001,138,2
1801,0,0.001,95,2
1801,0,0.001,7,2
1861,0,0.001,72,2
1861,0,0.001,18,2
1861,0,0.001,138,2
1861,0,0.001,105,2
1861,0,0.001,7,2
1921,0,0.001,72,2
1921,0,0.001,18,2
1921,0,0.001,147,2
1921,0,0.001,96,2
1921,0,0.001,1,2
1921,0,0.001,6,2
2401,0,0.001,72,2
2401,0,0.001,18,2
2401,0,0.001,137,2
2401,0,0.001,96,2
2401,0,0.001,14,2
2401,0,0.001,3,2
1801,0,0.001,48,3
1801,0,0.001,5,3
1801,0,0.001,53,3
1801,0,0.001,46,3
1801,0,0.001,138,3
1801,0,0.001,60,3
1861,0,0.001,48,3
1861,0,0.001,5,3
1861,0,0.001,53,3
1861,0,0.001,46,3
1861,0,0.001,138,3
1861,0,0.001,60,3
1921,0,0.001,48,3
1921,0,0.001,6,3
1921,0,0.001,53,3
1921,0,0.001,45,3
1921,0,0.001,139,3
1921,0,0.001,59,3
2401,0,0.001,49,3
2401,0,0.001,6,3
2401,0,0.001,52,3
2401,0,0.001,44,3
2401,0,0.001,138,3
2401,0,0.001,61,3
1801,0,0.001,31,4
1801,0,0.001,34,4
1801,0,0.001,11,4
1801,0,0.001,122,4
1801,0,0.001,9,4
1801,0,0.001,26,4
1801,0,0.001,33,4
1801,0,0.001,7,4
1801,0,0.001,7,4
1861,0,0.001,31,4
1861,0,0.001,34,4
1861,0,0.001,1,4
1861,0,0.001,122,4
1861,0,0.001,9,4
1861,0,0.001,26,4
1861,0,0.001,33,4
1861,0,0.001,7,4
1861,0,0.001,7,4
1921,0,0.001,30,4
1921,0,0.001,35,4
1921,0,0.001,1,4
1921,0,0.001,122,4
1921,0,0.001,9,4
1921,0,0.001,26,4
1921,0,0.001,35,4
1921,0,0.001,5,4
1921,0,0.001,7,4
2401,0,0.001,29,4
