time,fold,D1,size,id
1801,0,1000.0,76,1
1801,0,1000.0,68,1
1801,0,1000.0,40,1
1801,0,1000.0,43,1
1801,0,1000.0,43,1
1801,0,1000.0,41,1
1801,0,1000.0,39,1
1861,0,1000.0,44,1
1861,0,1000.0,109,1
1861,0,1000.0,47,1
1861,0,1000.0,1,1
1861,0,1000.0,22,1
1861,0,1000.0,30,1
1861,0,1000.0,97,1
1921,0,1000.0,11,1
1921,0,1000.0,68,1
1921,0,1000.0,152,1
1921,0,1000.0,59,1
1921,0,1000.0,34,1
1921,0,1000.0,7,1
1921,0,1000.0,19,1
2401,0,1000.0,154,1
2401,0,1000.0,15,1
2401,0,1000.0,30,1
2401,0,1000.0,36,1
2401,0,1000.0,3,1
2401,0,1000.0,54,1
2401,0,1000.0,58,1
1801,0,1000.0,14,2
1801,0,1000.0,7,2
1801,0,1000.0,27,2
1801,0,1000.0,34,2
1801,0,1000.0,4,2
1801,0,1000.0,54,2
1801,0,1000.0,7,2
1801,0,1000.0,3,2
1801,0,1000.0,46,2
1801,0,1000.0,34,2
1801,0,1000.0,20,2
1861,0,1000.0,13,2
1861,0,1000.0,30,2
1861,0,1000.0,16,2
1861,0,1000.0,32,2
1861,0,1000.0,4,2
1861,0,1000.0,50,2
1861,0,1000.0,50,2
1861,0,1000.0,2,2
1861,0,1000.0,49,2
1861,0,1000.0,2,2
1861,0,1000.0,2,2
1921,0,1000.0,68,2
1921,0,1000.0,28,2
1921,0,1000.0,8,2
1921,0,1000.0,1,2
1921,0,1000.0,6,2
1921,0,1000.0,12,2
1921,0,1000.0,10,2
1921,0,1000.0,27,2
1921,0,1000.0,38,2
1921,0,1000.0,34,2
1921,0,1000.0,18,2
2401,0,1000.0,21,2
2401,0,1000.0,6,2
2401,0,1000.0,8,2
2401,0,1000.0,16,2
2401,0,1000.0,23,2
2401,0,1000.0,72,2
2401,0,1000.0,3,2
2401,0,1000.0,2,2
2401,0,1000.0,18,2
2401,0,1000.0,60,2
2401,0,1000.0,11,2
1801,0,1000.0,30,3
1801,0,1000.0,52,3
1801,0,1000.0,5,3
1801,0,1000.0,102,3
1801,0,1000.0,12,3
1801,0,1000.0,10,3
1801,0,1000.0,53,3
1801,0,1000.0,22,3
1801,0,1000.0,4,3
1861,0,1000.0,16,3
1861,0,1000.0,2,3
1861,0,1000.0,29,3
1861,0,1000.0,21,3
1861,0,1000.0,28,3
1861,0,1000.0,29,3
1861,0,1000.0,39,3
1861,0,1000.0,37,3
1861,0,1000.0,89,3
