time,ABCD,ABC,sd_ABCD,sd_ABC
1.0,0.0,0.0,0.0,0.0
2.0,0.00012,0.00028000000000000003,0.0008442317648177381,0.0010257295999049711
3.0,0.00048,0.00024,0.001635959546065744,0.0009547330263037681
4.0,0.0007800000000000001,0.00032,0.0020279860139377865,0.0010906396973771628
5.0,0.00102,0.00043999999999999996,0.002265151008411821,0.0012578641509408807
6.0,0.00114,0.00043999999999999996,0.0025146841478874368,0.0012578641509408807
7.0,0.00126,0.00048,0.0026,0.0013063945294843617
8.0,0.0016200000000000001,0.0006000000000000001,0.0029362932724471143,0.001435481125130547
9.0,0.0017400000000000004,0.0008,0.0029902873075706594,0.0017056057308448835
10.0,0.00204,0.0008,0.0032158697395600747,0.0017056057308448838
11.0,0.0022800000000000003,0.00064,0.003493370344471992,0.0014738117967098825
12.0,0.00252,0.0005600000000000001,0.003830974241151151,0.001506350194706035
13.0,0.0028200000000000005,0.00064,0.003950143840879261,0.0016788644550963182
14.0,0.0029400000000000003,0.00068,0.004044749683231337,0.0018028036526757454
15.0,0.0030600000000000007,0.0008799999999999999,0.004133675450162086,0.0021708816809598982
16.0,0.0030600000000000007,0.0010400000000000001,0.0043896572655608215,0.002173857531131368
17.0,0.00342,0.0008800000000000001,0.00453311051145799,0.0018492695800769502
18.0,0.0035399999999999997,0.00084,0.004678383559229911,0.0019107352226064946
19.0,0.0037199999999999998,0.0008800000000000001,0.004882622246293481,0.0018492695800769502
20.0,0.004320000000000001,0.0007600000000000002,0.004830207975947733,0.001770236530449356
21.0,0.00444,0.00084,0.004795452391210201,0.0018241920862882746
22.0,0.00456,0.0010400000000000001,0.004907878638197233,0.002173857531131368
23.0,0.00474,0.00116,0.005137739156123405,0.0022234743946891733
24.0,0.0051,0.0010800000000000002,0.005680909018170179,0.0020384188762743332
25.0,0.005640000000000001,0.0008400000000000001,0.005709322519911065,0.0018241920862882746
26.0,0.006000000000000001,0.00072,0.005908391567007972,0.001645808879756963
27.0,0.006000000000000001,0.0009600000000000001,0.005908391567007971,0.0018086213288334048
28.0,0.006059999999999999,0.0011600000000000002,0.005938778570471449,0.0020730107904624465
29.0,0.00588,0.0014800000000000002,0.005525478177579664,0.00232022290813498
30.0,0.0064800000000000005,0.0012000000000000001,0.006010899191544398,0.002088931871468374
31.0,0.00684,0.0011200000000000001,0.005970838223474916,0.0021333333333333334
32.0,0.00714,0.00116,0.005951012136985225,0.0022234743946891733
33.0,0.00726,0.00132,0.005987562867386788,0.0019739720506039738
34.0,0.00792,0.0012000000000000001,0.0059623058382718775,0.002088931871468374
35.0,0.008520000000000002,0.00092,0.0062190323713873395,0.0017847841733538948
36.0,0.008400000000000001,0.00128,0.0064385204398639175,0.0021931021338954942
37.0,0.008640000000000002,0.0012000000000000001,0.006227213005685755,0.002088931871468374
38.0,0.00876,0.0015200000000000003,0.006405679298304535,0.002591672756496791
39.0,0.008879999999999999,0.0016000000000000003,0.006294586418647231,0.0027265992434429074
40.0,0.00888,0.00172,0.0062365491623609815,0.0028
41.0,0.00954,0.0015600000000000002,0.006330015079689061,0.0024050452021204143
42.0,0.00954,0.0016799999999999999,0.006095900261651269,0.002553982827434101
43.0,0.01002,0.00144,0.006608809547593548,0.0023797122311385263
44.0,0.01044,0.0015600000000000002,0.0067484678395779716,0.0024050452021204143
45.0,0.0111,0.00132,0.0071541469220179,0.0020542146868810915
46.0,0.01122,0.00136,0.007168364844610977,0.002143913159706716
47.0,0.01152,0.00124,0.007564510439005168,0.002103964511741267
48.0,0.011580000000000002,0.0014000000000000002,0.007781329636321219,0.0021555659689428777
