time,ABCD,ABC,sd_ABCD,sd_ABC
1.0,0.0,0.0,0.0,0.0
2.0,0.00024,0.0,0.0011816783134015942,0.0
3.0,0.0006,0.0,0.0018090680674665814,0.0
4.0,0.0009,0.0,0.0023159525823376356,0.0
5.0,0.0012000000000000001,4.0e-5,0.0028284271247461905,0.00039999999999999996
6.0,0.00132,4.0e-5,0.0029020369022150945,0.00039999999999999996
7.0,0.0018599999999999999,4.0e-5,0.003378541912503891,0.00039999999999999996
8.0,0.00216,4.0e-5,0.0035695683467077896,0.00039999999999999996
9.0,0.00264,4.0e-5,0.0041182520563948005,0.00039999999999999996
10.0,0.00312,4.0e-5,0.004304754242800522,0.00039999999999999996
11.0,0.0033599999999999997,4.0e-5,0.004457475845037291,0.00039999999999999996
12.0,0.0036,4.0e-5,0.004670993664969137,0.00039999999999999996
13.0,0.00396,4.0e-5,0.00484073623250919,0.00039999999999999996
14.0,0.00408,4.0e-5,0.004815127676962942,0.00039999999999999996
15.0,0.00426,4.0e-5,0.004770744176750624,0.00039999999999999996
16.0,0.00468,4.0e-5,0.0050868815237199725,0.00039999999999999996
17.0,0.00498,4.0e-5,0.005260832979325958,0.00039999999999999996
18.0,0.0051600000000000005,4.0e-5,0.005258413172327664,0.00039999999999999996
19.0,0.0057,4.0e-5,0.005744562646538028,0.00039999999999999996
20.0,0.005880000000000001,4.0e-5,0.005907160523851156,0.00039999999999999996
21.0,0.006060000000000001,4.0e-5,0.005815027554065883,0.00039999999999999996
22.0,0.006240000000000001,4.0e-5,0.005841544005109981,0.00039999999999999996
23.0,0.00642,4.0e-5,0.0058623606787089385,0.00039999999999999996
24.0,0.0064800000000000005,4.0e-5,0.005826584840975964,0.00039999999999999996
25.0,0.006599999999999999,4.0e-5,0.0058153402151707185,0.00039999999999999996
26.0,0.0069,4.0e-5,0.005931426319344966,0.00039999999999999996
27.0,0.0072,4.0e-5,0.006030226891555273,0.00039999999999999996
28.0,0.0075,4.0e-5,0.0062304238875201595,0.00039999999999999996
29.0,0.00768,4.0e-5,0.006271435967217484,0.00039999999999999996
30.0,0.008159999999999999,4.0e-5,0.006411353565781141,0.00039999999999999996
31.0,0.0084,4.0e-5,0.006768912897813193,0.00039999999999999996
32.0,0.008579999999999999,4.0e-5,0.006782598054111445,0.00039999999999999996
33.0,0.00882,4.0e-5,0.006899538851520176,0.00039999999999999996
34.0,0.00912,4.0e-5,0.007108509625154143,0.00039999999999999996
35.0,0.00936,4.0e-5,0.007252335047166784,0.00039999999999999996
36.0,0.009899999999999999,4.0e-5,0.00740393016027176,0.00039999999999999996
37.0,0.010139999999999998,4.0e-5,0.007419629983422966,0.00039999999999999996
38.0,0.010320000000000001,4.0e-5,0.0073894273366504086,0.00039999999999999996
39.0,0.010740000000000001,4.0e-5,0.007736336929769094,0.00039999999999999996
40.0,0.010860000000000002,8.0e-5,0.007755115613697721,0.0005628211765451587
41.0,0.011159999999999998,8.0e-5,0.007955329831457194,0.0005628211765451587
42.0,0.011460000000000001,8.0e-5,0.00800431701702843,0.0005628211765451587
43.0,0.01164,8.0e-5,0.008037186300961528,0.0005628211765451587
44.0,0.012119999999999999,8.0e-5,0.007999090857432146,0.0005628211765451587
45.0,0.01248,8.0e-5,0.008030849609757702,0.0005628211765451587
46.0,0.01278,8.0e-5,0.008029717531542666,0.0005628211765451587
47.0,0.013080000000000001,8.0e-5,0.008240917865913194,0.0005628211765451587
48.0,0.013380000000000001,8.0e-5,0.0083057482832948,0.0005628211765451587
49.0,0.013500000000000002,8.0e-5,0.008458454619222977,0.0005628211765451587
50.0,0.013739999999999999,8.0e-5,0.008667389247266812,0.0005628211765451587
51.0,0.014039999999999999,8.0e-5,0.008664242085092666,0.0005628211765451587
52.0,0.014100000000000001,8.0e-5,0.008712582332987787,0.0005628211765451587
53.0,0.01428,8.0e-5,0.008729469420510982,0.0005628211765451587
54.0,0.014580000000000003,8.0e-5,0.008581375181169972,0.0005628211765451587
55.0,0.014879999999999999,8.0e-5,0.008675147365790498,0.0005628211765451587
56.0,0.01524,8.0e-5,0.008503261406393112,0.0005628211765451587
57.0,0.01548,8.0e-5,0.008704439828459538,0.0005628211765451587
58.0,0.01584,8.0e-5,0.008592597236733912,0.0005628211765451587
59.0,0.016079999999999997,8.0e-5,0.008607818855816232,0.0005628211765451587
60.0,0.0162,8.0e-5,0.00854932214218818,0.0005628211765451587
61.0,0.0165,8.0e-5,0.00862870473793984,0.0005628211765451587
62.0,0.01698,8.0e-5,0.009187145169400359,0.0005628211765451587
63.0,0.017519999999999997,8.0e-5,0.009407153950826225,0.0005628211765451587
64.0,0.01794,8.0e-5,0.00962931131305019,0.0005628211765451587
65.0,0.018359999999999998,8.0e-5,0.009716714745969723,0.0005628211765451587
66.0,0.01848,8.0e-5,0.00967395754308724,0.0005628211765451587
67.0,0.01872,8.0e-5,0.009621188737742998,0.0005628211765451587
68.0,0.01908,8.0e-5,0.009885894450726705,0.0005628211765451587
69.0,0.019500000000000003,8.0e-5,0.010352865216055804,0.0005628211765451587
70.0,0.019799999999999998,8.0e-5,0.010496752744626225,0.0005628211765451587
71.0,0.01992,8.0e-5,0.010440480657691788,0.0005628211765451587
72.0,0.02022,8.0e-5,0.010639719750239494,0.0005628211765451587
73.0,0.020459999999999992,8.0e-5,0.01079039977353607,0.0005628211765451587
74.0,0.020759999999999997,8.0e-5,0.010935180922974335,0.0005628211765451587
75.0,0.020939999999999993,8.0e-5,0.010870978880403634,0.0005628211765451587
76.0,0.021179999999999997,8.0e-5,0.010869640790251114,0.0005628211765451587
77.0,0.021359999999999997,8.0e-5,0.010898540352642726,0.0005628211765451587
78.0,0.021659999999999995,8.0e-5,0.011115754585272202,0.0005628211765451587
79.0,0.022019999999999994,8.0e-5,0.011218653297886596,0.0005628211765451587
80.0,0.022499999999999996,8.0e-5,0.011131446038547323,0.0005628211765451587
81.0,0.022739999999999996,8.0e-5,0.011355255091006022,0.0005628211765451587
82.0,0.023159999999999993,8.0e-5,0.011755694944849652,0.0005628211765451587
83.0,0.023459999999999995,8.0e-5,0.011850431522637784,0.0005628211765451587
84.0,0.02376,8.0e-5,0.011997575512653303,0.0005628211765451587
85.0,0.02406,8.0e-5,0.01201499063670047,0.0005628211765451587
86.0,0.02436,8.0e-5,0.012175086335329507,0.0005628211765451587
87.0,0.02472,8.0e-5,0.01212900355646445,0.0005628211765451587
88.0,0.02544,0.00012,0.011912407588118136,0.0006857864319910612
89.0,0.02568,0.00012,0.01197208875221484,0.0006857864319910612
90.0,0.0261,0.00012,0.01228080542220997,0.0006857864319910612
91.0,0.026220000000000004,0.00012,0.012348131989753092,0.0006857864319910612
92.0,0.02658,0.00012,0.012395160345876934,0.0006857864319910612
93.0,0.026879999999999998,0.00012,0.012431046178456143,0.0006857864319910612
94.0,0.02718,0.00012,0.012662184214854447,0.0006857864319910612
95.0,0.02736,0.00012,0.012772698155903404,0.0006857864319910612
96.0,0.027719999999999998,0.00012,0.012814196672582967,0.0006857864319910612
97.0,0.028019999999999996,0.00016,0.012793606357722736,0.0007877855422677295
98.0,0.028259999999999997,0.00016,0.012941687398761906,0.0007877855422677295
99.0,0.02862,0.00016,0.0127879204365256,0.0007877855422677295
100.0,0.028919999999999994,0.00016,0.012774406230641584,0.0007877855422677295
101.0,0.029219999999999996,0.00016,0.012923692126548751,0.0007877855422677295
102.0,0.029459999999999997,0.00016,0.012936066565297898,0.0007877855422677295
103.0,0.029939999999999998,0.00016,0.013086981734116196,0.0007877855422677295
104.0,0.03018,0.00016,0.013141329668437113,0.0007877855422677295
105.0,0.030539999999999998,0.00016,0.013103642796774282,0.0007877855422677295
106.0,0.03084,0.00016,0.013184563977345905,0.0007877855422677295
107.0,0.031199999999999995,0.0002,0.013211565181516328,0.0008761716542303613
108.0,0.03156,0.0002,0.013228619112982416,0.0008761716542303613
109.0,0.031979999999999995,0.0002,0.013349974463714085,0.0008761716542303613
110.0,0.03252,0.0002,0.013216518589869409,0.0008761716542303613
111.0,0.03276,0.00024,0.013195591550348789,0.0009547330263037681
112.0,0.03288,0.00024,0.013252238232910628,0.0009547330263037681
113.0,0.03306,0.00028000000000000003,0.013280060240827224,0.0010257295999049711
114.0,0.03342,0.00028000000000000003,0.013191043793560705,0.0010257295999049711
115.0,0.03372,0.00028000000000000003,0.013315199790260206,0.0010257295999049711
116.0,0.03402,0.00028000000000000003,0.013458488365745579,0.0010257295999049711
117.0,0.03426,0.00028000000000000003,0.013572565912698507,0.0010257295999049711
118.0,0.03444,0.00028000000000000003,0.0137674187189109,0.0010257295999049711
119.0,0.03468,0.00028000000000000003,0.013713430709278471,0.0010257295999049711
120.0,0.035039999999999995,0.00028000000000000003,0.013927605028079373,0.0010257295999049711
121.0,0.0351,0.00028000000000000003,0.0139707486621805,0.0010257295999049711
122.0,0.03528,0.00028000000000000003,0.014123610148838138,0.0010257295999049711
123.0,0.03564,0.00032,0.014518201741888758,0.0010906396973771628
124.0,0.03575999999999999,0.00032,0.014545727270170502,0.0010906396973771628
125.0,0.03575999999999999,0.00032,0.014545727270170502,0.0010906396973771628
126.0,0.03618,0.00032,0.01443367275127537,0.0010906396973771628
127.0,0.03648,0.00028000000000000003,0.014439340201496238,0.0010257295999049711
128.0,0.03683999999999999,0.00028000000000000003,0.014523210263699838,0.0010257295999049711
129.0,0.03713999999999999,0.00028000000000000003,0.014590033958462569,0.0010257295999049711
130.0,0.0375,0.00028000000000000003,0.014631845717164636,0.0010257295999049711
131.0,0.03786,0.00028000000000000003,0.014565089020730981,0.0010257295999049711
132.0,0.038040000000000004,0.00028000000000000003,0.014627993089217053,0.0010257295999049711
133.0,0.03828,0.00028000000000000003,0.01449212952542925,0.0010257295999049711
134.0,0.0384,0.00028000000000000003,0.014647370226271151,0.0010257295999049711
135.0,0.03846,0.00028000000000000003,0.014550101530417395,0.0010257295999049711
136.0,0.03864,0.00028000000000000003,0.01458068460794498,0.0010257295999049711
137.0,0.03918,0.00028000000000000003,0.014757555845920239,0.0010257295999049711
138.0,0.03966,0.00028000000000000003,0.014719066175913101,0.0010257295999049711
139.0,0.039839999999999993,0.00028000000000000003,0.01461058147060174,0.0010257295999049711
140.0,0.040139999999999995,0.00032,0.01491052099571428,0.0010906396973771628
141.0,0.04056,0.00032,0.014896491350162109,0.0010906396973771628
142.0,0.040859999999999994,0.00032,0.015031965939290843,0.0010906396973771628
143.0,0.041339999999999995,0.00032,0.014915397779110382,0.0010906396973771628
144.0,0.0414,0.00036,0.01500302999700091,0.0011504939650586455
145.0,0.04175999999999999,0.00036,0.015085694608409049,0.0011504939650586455
146.0,0.041819999999999996,0.0004,0.015074481748969016,0.0012060453783110546
147.0,0.04223999999999999,0.0004,0.015133827251317735,0.0012060453783110546
148.0,0.04241999999999999,0.0004,0.01521374976191543,0.0012060453783110546
149.0,0.04278,0.0004,0.0152471755953804,0.0012060453783110546
150.0,0.042899999999999994,0.0004,0.015192701597088711,0.0012060453783110546
151.0,0.0435,0.0004,0.015406610151608185,0.0012060453783110546
152.0,0.043680000000000004,0.0004,0.015470323496647027,0.0012060453783110546
153.0,0.04398,0.0004,0.015422651581948605,0.0012060453783110546
154.0,0.04446,0.0004,0.0154,0.0012060453783110546
155.0,0.045,0.0004,0.01555050423035156,0.0012060453783110546
156.0,0.045540000000000004,0.0004,0.015470676073844291,0.0012060453783110546
157.0,0.0456,0.0004,0.015491933384829668,0.0012060453783110546
158.0,0.045720000000000004,0.0004,0.015533658469740651,0.0012060453783110546
159.0,0.045899999999999996,0.0004,0.01559428799855313,0.0012060453783110546
160.0,0.04626,0.0004,0.015475376335562011,0.0012060453783110546
161.0,0.04638,0.0004,0.01537069230120042,0.0012060453783110546
162.0,0.046799999999999994,0.0004,0.015840110192454182,0.0012060453783110546
163.0,0.04704,0.0004,0.01581069833429826,0.0012060453783110546
164.0,0.047400000000000005,0.0004,0.015503665255791495,0.0012060453783110546
165.0,0.04776,0.0004,0.015676734353812338,0.0012060453783110546
166.0,0.04805999999999999,0.0004,0.01557375414541459,0.0012060453783110546
167.0,0.048119999999999996,0.0004,0.015538339679644025,0.0012060453783110546
168.0,0.04823999999999999,0.0004,0.015699913143940404,0.0012060453783110546
169.0,0.04854,0.0004,0.01561106833453286,0.0012060453783110546
170.0,0.04872,0.0004,0.015545358851380106,0.0012060453783110546
171.0,0.0489,0.0004,0.015382989424567763,0.0012060453783110546
172.0,0.04944,0.00043999999999999996,0.015329591111192876,0.0013803820288074403
173.0,0.04955999999999999,0.00043999999999999996,0.015435967443250551,0.0013803820288074403
174.0,0.049859999999999995,0.00043999999999999996,0.01555506348428061,0.0013803820288074403
175.0,0.05022,0.00043999999999999996,0.01546033046806627,0.0013803820288074403
176.0,0.050460000000000005,0.00043999999999999996,0.015494163123869933,0.0013803820288074403
177.0,0.05063999999999999,0.00043999999999999996,0.015593005424927493,0.0013803820288074403
178.0,0.051,0.00043999999999999996,0.015851584377365162,0.0013803820288074403
179.0,0.05148,0.00043999999999999996,0.016184841392769066,0.0013803820288074403
180.0,0.051719999999999995,0.00043999999999999996,0.01639911305805619,0.0013803820288074403
181.0,0.0519,0.00043999999999999996,0.016566669715260985,0.0013803820288074403
182.0,0.05213999999999999,0.00043999999999999996,0.016485696279447275,0.0013803820288074403
183.0,0.052379999999999996,0.00043999999999999996,0.016533272238401293,0.0013803820288074403
184.0,0.0525,0.00043999999999999996,0.016697849616587816,0.0013803820288074403
185.0,0.05261999999999999,0.00043999999999999996,0.016838376082357498,0.0013803820288074403
186.0,0.05291999999999999,0.00043999999999999996,0.016784841646286363,0.0013803820288074403
187.0,0.05316,0.00043999999999999996,0.016798701248500244,0.0013803820288074403
188.0,0.053579999999999996,0.00048,0.01682541367855618,0.0014247452368402534
189.0,0.05364,0.00048,0.016880758276807354,0.0014247452368402534
190.0,0.05376,0.00048,0.01692593491442268,0.0014247452368402534
191.0,0.05406,0.0005600000000000001,0.017087901089260893,0.001506350194706035
192.0,0.054479999999999994,0.0005600000000000001,0.01734526395931125,0.001506350194706035
193.0,0.05489999999999999,0.0005600000000000001,0.017254775360093004,0.001506350194706035
194.0,0.05537999999999999,0.0005600000000000001,0.017243813119756632,0.001506350194706035
195.0,0.05567999999999999,0.0005600000000000001,0.01722746222011398,0.001506350194706035
196.0,0.05592,0.0005600000000000001,0.01715978385114981,0.001506350194706035
197.0,0.0561,0.0005600000000000001,0.017296873075264736,0.001506350194706035
198.0,0.056459999999999996,0.0005600000000000001,0.017437576979302226,0.001506350194706035
199.0,0.056819999999999996,0.0005600000000000001,0.01748672223561221,0.001506350194706035
200.0,0.057,0.0006,0.017529196424044293,0.0015439683882250905
201.0,0.05742,0.0005600000000000001,0.017627561064733517,0.001506350194706035
