fraction_exposure,fold,id
0.4752,10,319
0.5796,10,320
0.4784,10,321
0.5084,10,322
0.4884,10,323
0.5274,10,324
0.4964,10,325
0.5346,10,326
0.4868,10,327
0.4714,10,328
0.5052,10,329
0.4876,10,330
0.5526,10,331
0.4572,10,332
0.4522,10,333
0.5088,10,334
0.4212,10,335
0.5332,10,336
0.5234,10,337
0.5042,10,338
0.526,10,339
0.4652,10,340
0.5404,10,341
0.4928,10,342
0.481,10,343
0.51,10,344
0.488,10,345
0.4716,10,346
0.496,10,347
0.4888,10,348
0.4798,10,349
0.4774,10,350
0.5454,10,351
0.4798,10,352
0.4974,10,353
0.4926,10,354
0.4722,10,355
0.508,10,356
0.4878,10,357
0.5062,10,358
0.4434,10,359
0.531,10,360
0.4752,10,361
0.4796,10,362
0.5372,10,363
0.5392,10,364
0.5404,10,365
0.5868,10,366
0.5416,10,367
0.4856,10,368
0.5224,10,369
0.4568,10,370
0.538,10,371
0.4968,10,372
0.528,10,373
0.487,10,374
0.4628,10,375
0.4812,10,376
0.526,10,377
0.4152,10,378
0.4806,10,379
0.493,10,380
0.509,10,381
0.4992,10,382
0.5194,10,383
0.4532,10,384
0.5042,10,385
0.4916,10,386
0.491,10,387
0.5026,10,388
0.4844,10,389
0.4742,10,390
0.5046,10,391
0.4802,10,392
0.519,10,393
0.4202,10,394
0.5116,10,395
0.468,10,396
0.4924,10,397
0.5352,10,398
0.5082,10,399
0.5178,10,400
0.3154,25,401
0.3016,25,402
0.296,25,403
0.2558,25,404
0.3124,25,405
0.3224,25,406
0.3124,25,407
0.3336,25,408
0.244,25,409
0.247,25,410
0.2814,25,411
0.3252,25,412
0.3088,25,413
0.2942,25,414
0.341,25,415
0.3212,25,416
0.2336,25,417
0.2992,25,418
0.2988,25,419
0.334,25,420
0.2584,25,421
0.2792,25,422
0.3332,25,423
0.3108,25,424
0.2962,25,425
0.279,25,426
0.3124,25,427
0.2618,25,428
0.369,25,429
0.2812,25,430
0.3494,25,431
0.2946,25,432
0.2888,25,433
0.312,25,434
0.2708,25,435
0.2384,25,436
0.3446,25,437
0.3038,25,438
0.2908,25,439
0.2988,25,440
0.305,25,441
0.2102,25,442
0.2326,25,443
0.2692,25,444
0.2548,25,445
0.2794,25,446
0.3252,25,447
0.2936,25,448
0.284,25,449
0.3272,25,450
0.261,25,451
0.314,25,452
0.3118,25,453
0.2418,25,454
0.3056,25,455
0.3346,25,456
0.2934,25,457
0.332,25,458
0.3138,25,459
0.2808,25,460
0.2608,25,461
0.339,25,462
0.2892,25,463
0.3616,25,464
0.3022,25,465
0.26,25,466
0.301,25,467
0.3106,25,468
0.2762,25,469
0.2606,25,470
0.2732,25,471
0.3282,25,472
0.3026,25,473
0.2774,25,474
0.2232,25,475
0.2834,25,476
0.3082,25,477
0.3158,25,478
0.3102,25,479
0.2756,25,480
0.2876,25,481
0.3426,25,482
0.324,25,483
0.318,25,484
0.26,25,485
0.302,25,486
0.2984,25,487
0.2764,25,488
0.3356,25,489
0.3336,25,490
0.317,25,491
0.2606,25,492
0.2946,25,493
0.3066,25,494
0.3016,25,495
0.2976,25,496
0.3414,25,497
0.2778,25,498
0.3336,25,499
0.3242,25,500
0.1804,50,501
0.2048,50,502
0.1536,50,503
0.185,50,504
0.1354,50,505
0.1894,50,506
0.1586,50,507
0.1784,50,508
0.1924,50,509
0.26,50,510
0.1538,50,511
0.1814,50,512
0.1814,50,513
0.2168,50,514
0.183,50,515
0.1862,50,516
0.2008,50,517
0.133,50,518
0.2248,50,519
0.2176,50,520
0.1536,50,521
0.196,50,522
0.17,50,523
0.185,50,524
0.2024,50,525
0.2036,50,526
0.178,50,527
0.2288,50,528
0.199,50,529
0.181,50,530
0.1674,50,531
0.2014,50,532
0.2086,50,533
0.187,50,534
0.1394,50,535
0.1998,50,536
0.1596,50,537
0.1992,50,538
0.1894,50,539
0.1834,50,540
0.146,50,541
0.173,50,542
0.2378,50,543
0.1938,50,544
0.1782,50,545
0.1828,50,546
0.1596,50,547
0.1874,50,548
0.1768,50,549
0.2008,50,550
0.236,50,551
0.1706,50,552
0.1508,50,553
0.183,50,554
0.182,50,555
0.1576,50,556
0.198,50,557
0.1816,50,558
0.141,50,559
0.1694,50,560
0.1794,50,561
0.137,50,562
0.2396,50,563
0.1474,50,564
0.1406,50,565
0.1284,50,566
0.1966,50,567
0.1716,50,568
0.2046,50,569
0.2052,50,570
0.1724,50,571
0.1896,50,572
0.2348,50,573
0.1764,50,574
0.1882,50,575
0.2012,50,576
0.1734,50,577
0.1728,50,578
0.235,50,579
0.199,50,580
0.1304,50,581
0.1836,50,582
0.1884,50,583
0.1722,50,584
0.1604,50,585
0.2028,50,586
0.1864,50,587
0.1502,50,588
0.1596,50,589
0.1832,50,590
0.204,50,591
0.1958,50,592
0.2176,50,593
0.2124,50,594
0.1742,50,595
0.2404,50,596
0.1742,50,597
0.1908,50,598
0.1544,50,599
0.1374,50,600
0.1564,100,601
0.1216,100,602
0.0838,100,603
0.1176,100,604
0.1212,100,605
0.1102,100,606
0.1198,100,607
0.1232,100,608
0.1176,100,609
0.1354,100,610
0.1044,100,611
0.175,100,612
0.0912,100,613
0.125,100,614
0.0866,100,615
0.116,100,616
0.1062,100,617
0.1706,100,618
0.163,100,619
0.1598,100,620
0.1286,100,621
0.0792,100,622
0.1244,100,623
0.0834,100,624
0.1048,100,625
0.103,100,626
0.1212,100,627
0.1276,100,628
0.0886,100,629
0.12,100,630
0.0732,100,631
0.1118,100,632
0.112,100,633
0.1054,100,634
0.149,100,635
0.1286,100,636
0.0956,100,637
0.1036,100,638
0.1232,100,639
0.1136,100,640
0.1286,100,641
0.0688,100,642
0.1106,100,643
0.122,100,644
0.1236,100,645
0.1004,100,646
0.133,100,647
0.0916,100,648
0.1216,100,649
0.1096,100,650
0.1332,100,651
0.1484,100,652
0.0978,100,653
0.1046,100,654
0.1802,100,655
0.1546,100,656
0.1036,100,657
0.1294,100,658
0.1402,100,659
0.122,100,660
0.0892,100,661
0.1014,100,662
0.1134,100,663
0.0926,100,664
0.1288,100,665
0.0816,100,666
0.056,100,667
0.1402,100,668
0.1114,100,669
0.1094,100,670
0.1478,100,671
0.1302,100,672
0.0964,100,673
0.1376,100,674
0.1296,100,675
0.0974,100,676
0.0818,100,677
0.0962,100,678
0.1046,100,679
0.1172,100,680
0.1198,100,681
0.1332,100,682
0.0988,100,683
0.1394,100,684
0.0968,100,685
0.1146,100,686
0.1376,100,687
0.1348,100,688
0.1294,100,689
0.113,100,690
0.1114,100,691
0.0962,100,692
0.141,100,693
0.1196,100,694
0.092,100,695
0.1186,100,696
0.1328,100,697
0.133,100,698
0.105,100,699
0.1134,100,700
0.079,200,701
0.0572,200,702
0.0616,200,703
0.0668,200,704
0.071,200,705
0.073,200,706
0.0896,200,707
