para,error
0.5,484.8424072265625
0.6,483.7810974121094
0.7,482.72113037109375
0.8,481.66241455078125
0.9,480.60498046875
1.0,479.0299072265625
1.1,419.1309814453125
1.2,339.1681823730469
1.3,291.3704528808594
1.4,227.99600219726562
1.5,174.7315216064453
1.6,143.87274169921875
1.7,117.13939666748047
1.8,81.0259780883789
1.9,67.72911834716797
2.0,46.00517654418945
2.1,39.17277526855469
2.2,36.24390411376953
2.4,24.417879104614258
2.5,18.24066925048828
2.6,18.076725006103516
2.7,15.799863815307617
2.8,16.11932373046875
3.0,14.423267364501953
3.2,13.83378791809082
3.3,13.456727027893066
3.4,14.429064750671387
3.5,16.679546356201172
3.6,13.981267929077148
3.8,19.65821075439453
3.9,15.97642707824707
4.0,13.087035179138184
4.2,13.647751808166504
4.4,14.550712585449219
4.5,14.025620460510254
4.8,14.628328323364258
4.9,19.92363929748535
5.0,16.401493072509766
5.1,21.253190994262695
5.2,17.17184829711914
5.4,15.9725980758667
5.5,20.094289779663086
5.6,16.79026985168457
5.7,16.824462890625
6.0,15.569260597229004
6.3,14.058486938476562
6.4,13.656269073486328
6.5,16.841005325317383
6.6,14.459941864013672
6.8,17.314748764038086
7.0,14.02772045135498
7.2,14.053617477416992
7.5,16.445343017578125
7.6,17.310985565185547
7.7,13.786510467529297
7.8,14.810620307922363
8.0,14.661661148071289
8.1,17.60009765625
8.4,15.153751373291016
8.5,13.824827194213867
8.8,21.19284439086914
9.0,13.601821899414062
9.1,18.43236541748047
9.5,14.33830451965332
9.6,16.3604736328125
9.8,16.662519454956055
9.9,15.472583770751953
10.0,15.235408782958984
10.2,16.461454391479492
10.4,14.29942512512207
10.5,14.215856552124023
10.8,13.557269096374512
11.0,15.358723640441895
11.2,13.599082946777344
11.4,13.35572624206543
11.7,15.545913696289062
11.9,15.60051441192627
12.0,14.340335845947266
12.1,16.247661590576172
12.6,17.108713150024414
12.8,18.327919006347656
13.0,20.49593734741211
13.2,24.229888916015625
13.3,18.011920928955078
13.5,16.702449798583984
13.6,16.643455505371094
14.0,18.65499496459961
14.3,20.172115325927734
14.4,16.123981475830078
15.0,15.85438346862793
15.2,15.551644325256348
15.3,16.87494468688965
15.4,15.955316543579102
15.6,16.7263240814209
16.0,15.499719619750977
16.2,19.411996841430664
16.5,16.378023147583008
16.8,15.995650291442871
16.9,15.771417617797852
17.0,19.348697662353516
17.1,22.234647750854492
17.6,16.786312103271484
18.0,16.036745071411133
18.2,16.464282989501953
18.7,16.31589698791504
19.0,16.858135223388672
19.2,17.087141036987305
19.5,19.030197143554688
19.6,21.033306121826172
19.8,17.259599685668945
20.0,17.091964721679688
20.4,19.891632080078125
20.8,20.34404754638672
20.9,20.02463150024414
21.0,20.41665267944336
21.6,20.394668579101562
22.0,21.55034065246582
22.1,19.425559997558594
22.4,18.405086517333984
22.5,18.34039306640625
22.8,18.7015438079834
23.4,17.372621536254883
23.8,17.470741271972656
24.0,16.460968017578125
24.7,15.783836364746094
25.2,15.475526809692383
25.5,15.327095031738281
25.6,15.266969680786133
26.0,15.121356010437012
26.6,15.026262283325195
27.0,15.099392890930176
27.2,14.922537803649902
28.0,14.600933074951172
28.5,14.798567771911621
28.8,15.091714859008789
28.9,15.244232177734375
30.0,17.17513084411621
30.4,18.350723266601562
30.6,19.064607620239258
32.0,24.69615936279297
32.3,26.366413116455078
32.4,27.04568099975586
34.0,37.13248062133789
34.2,38.81847381591797
36.0,42.56978225708008
36.1,45.72731018066406
38.0,39.21771240234375
40.0,36.27263259887695
