fraction_exposure,fold,id
0.826,10,384
0.884,10,385
0.893,10,386
0.8784,10,387
0.823,10,388
0.8896,10,389
0.876,10,390
0.8622,10,391
0.867,10,392
0.8544,10,393
0.86,10,394
0.863,10,395
0.8698,10,396
0.8946,10,397
0.8362,10,398
0.8598,10,399
0.8702,10,400
0.7662,25,401
0.7494,25,402
0.7046,25,403
0.6984,25,404
0.7112,25,405
0.7422,25,406
0.7208,25,407
0.7374,25,408
0.7248,25,409
0.7364,25,410
0.7112,25,411
0.7014,25,412
0.7216,25,413
0.6912,25,414
0.7008,25,415
0.7338,25,416
0.6524,25,417
0.7622,25,418
0.7096,25,419
0.7346,25,420
0.714,25,421
0.6778,25,422
0.6752,25,423
0.7414,25,424
0.676,25,425
0.6934,25,426
0.7264,25,427
0.7508,25,428
0.7058,25,429
0.7374,25,430
0.7408,25,431
0.6678,25,432
0.6824,25,433
0.7688,25,434
0.715,25,435
0.7344,25,436
0.678,25,437
0.7114,25,438
0.731,25,439
0.731,25,440
0.7574,25,441
0.689,25,442
0.7328,25,443
0.7468,25,444
0.7028,25,445
0.7542,25,446
0.7502,25,447
0.7316,25,448
0.7074,25,449
0.6718,25,450
0.7336,25,451
0.6854,25,452
0.7146,25,453
0.664,25,454
0.7808,25,455
0.7038,25,456
0.7116,25,457
0.7536,25,458
0.7038,25,459
0.698,25,460
0.6944,25,461
0.6864,25,462
0.743,25,463
0.6912,25,464
0.6772,25,465
0.7324,25,466
0.6948,25,467
0.7356,25,468
0.7252,25,469
0.741,25,470
0.6954,25,471
0.7368,25,472
0.7456,25,473
0.7034,25,474
0.7244,25,475
0.7122,25,476
0.7032,25,477
0.7028,25,478
0.6898,25,479
0.7332,25,480
0.7092,25,481
0.6912,25,482
0.7398,25,483
0.7142,25,484
0.707,25,485
0.6744,25,486
0.7508,25,487
0.6848,25,488
0.7632,25,489
0.6918,25,490
0.7272,25,491
0.7344,25,492
0.706,25,493
0.7318,25,494
0.6816,25,495
0.7414,25,496
0.713,25,497
0.7084,25,498
0.6766,25,499
0.6958,25,500
0.6128,50,501
0.598,50,502
0.5788,50,503
0.5636,50,504
0.556,50,505
0.6026,50,506
0.5974,50,507
0.575,50,508
0.5666,50,509
0.5826,50,510
0.5496,50,511
0.6102,50,512
0.599,50,513
0.5726,50,514
0.622,50,515
0.5866,50,516
0.6312,50,517
0.642,50,518
0.5514,50,519
0.6028,50,520
0.6482,50,521
0.5748,50,522
0.624,50,523
0.5524,50,524
0.6034,50,525
0.5878,50,526
0.6056,50,527
0.5232,50,528
0.584,50,529
0.567,50,530
0.5688,50,531
0.4928,50,532
0.553,50,533
0.6188,50,534
0.5838,50,535
0.6054,50,536
0.5518,50,537
0.5624,50,538
0.5894,50,539
0.5342,50,540
0.5954,50,541
0.615,50,542
0.5784,50,543
0.6076,50,544
0.5288,50,545
0.5562,50,546
0.561,50,547
0.5562,50,548
0.6336,50,549
0.5918,50,550
0.572,50,551
0.6028,50,552
0.5666,50,553
0.5958,50,554
0.5712,50,555
0.5912,50,556
0.6516,50,557
0.6644,50,558
0.5916,50,559
0.5542,50,560
0.5576,50,561
0.5986,50,562
0.6096,50,563
0.608,50,564
0.5742,50,565
0.5388,50,566
0.6442,50,567
0.5366,50,568
0.609,50,569
0.6106,50,570
0.5816,50,571
0.6092,50,572
0.6392,50,573
0.5688,50,574
0.6276,50,575
0.5166,50,576
0.5514,50,577
0.5468,50,578
0.5724,50,579
0.6002,50,580
0.5476,50,581
0.5932,50,582
0.5626,50,583
0.528,50,584
0.6628,50,585
0.5462,50,586
0.5932,50,587
