k_on,k_off,v_open,v_close,α,β,L,exp_label
9.999999999999999e-6,3.1622776601683795e-5,0.00031622776601683794,0.0031622776601683794,1.5,4.2,5000,wt_15mM_salt
3.162277660168379e-6,0.010000000000000002,3.1622776601683796e-6,0.0031622776601683794,2.5,4.0,5000,wt_150mM_salt
