mean_fraction_exposure,std_fraction_exposure,fold
0.646214,0.036276349587492124,0
0.581672,0.038267896928803585,1
0.43304200000000004,0.03216181681133795,4
0.269258,0.033318497243811265,10
0.12605400000000003,0.021980282348532564,25
0.066416,0.015539475440622084,50
0.040653999999999996,0.011887413086916342,100
0.031546000000000005,0.011625637117329888,200
