time,extension,std
1,0.4307319065920783,0.03143914089750063
2,0.44294563432182554,0.04949907487220746
3,0.442070247692731,0.04181352566753694
4,0.44298731939940145,0.04576477903443037
5,0.45340858879338375,0.05605787732080886
6,0.4510742244491318,0.06201189456420963
7,0.4622041401619049,0.050369756238980844
8,0.4620373998516012,0.06711003733544864
9,0.46808173610011095,0.06531728906363284
10,0.4695823988928444,0.05882926284249691
11,0.4734591111074058,0.06382159156997486
12,0.47629369638256897,0.07008355705114773
13,0.48438060143229933,0.05801836479528025
14,0.4955938873002243,0.07392988213036432
15,0.49517703652446504,0.08271428718605155
16,0.49213402586142224,0.06964866710740282
17,0.5065987477802697,0.08376849075788319
18,0.5168532768639483,0.09239744816787354
19,0.5114759018566534,0.08725830115143264
20,0.5134351005027221,0.07544382386209847
21,0.5148940782178797,0.06895616064981105
22,0.5198546024494153,0.07708804641622913
23,0.5166448514760688,0.08965448834020627
24,0.5203965084579024,0.09950652886335525
25,0.5185206799669855,0.07999870117463213
26,0.5310262032397643,0.07751579962117763
27,0.5354865065403889,0.07672642914164661
28,0.5345694348337183,0.09433595915266742
29,0.5403636606167725,0.08114721758380954
30,0.5400301799961651,0.08864205555983695
31,0.5473667536495286,0.09203598419247666
32,0.5436567817452709,0.07577297972393279
33,0.5562873602507776,0.08132316326259001
34,0.5521188524931846,0.0714738104297644
35,0.5429064503489042,0.07046717730801219
36,0.5491592119852936,0.07143082539038195
37,0.5440319474434543,0.07373813590339341
38,0.5386545724361594,0.0675854055403157
39,0.5456159803913396,0.07821480731580881
40,0.5551201780786514,0.0769548688419757
41,0.562456751732015,0.084730776428582
42,0.5621232711114076,0.08682626178221627
43,0.5623733815768632,0.08654291854673211
44,0.5687511984459804,0.10763863121945544
45,0.5654414032864516,0.08764808102142638
46,0.5673589168549444,0.08810221590041283
47,0.5719442753882965,0.07661165458669911
48,0.5674006019325203,0.08426468976385464
49,0.5848166273437436,0.11265879729897343
50,0.5754541589201898,0.07780325641190976
51,0.5719942974813876,0.07482889055495462
52,0.5732031647310897,0.08202383869126882
53,0.5854585775384129,0.07996105602991604
54,0.5837911744353756,0.08889077887925416
55,0.5869175552535704,0.0736606711273483
56,0.590752582390556,0.07707573223353102
57,0.588960124054791,0.08729325482785796
58,0.5883765329687279,0.08403227238392601
59,0.5897104554511576,0.07864587907045378
60,0.5955880513893638,0.09281549973809584
61,0.6007570010087789,0.09418210000420753
62,0.6047170833784924,0.074736272053238
63,0.6017574428706013,0.08812570156009399
64,0.5999649845348363,0.08228313782783914
65,0.5819987160996107,0.07336066860235266
66,0.5985476918972547,0.08991270005807082
67,0.5929202064245043,0.0756855048233859
68,0.594837719992997,0.08549407171632023
69,0.6044252878354608,0.08311726486169817
70,0.6009654263966586,0.09072577374034475
71,0.6106780494718502,0.09620337185433399
72,0.6088855911360852,0.09667117781942311
73,0.6138044302900448,0.08777296475575921
74,0.61201197195428,0.1075175010721251
75,0.6035082161287902,0.09166848581657185
76,0.6038833818269737,0.08597549375957998
77,0.6110949002476095,0.09173101380756972
78,0.6084687403603259,0.07625946137969497
79,0.6147215019967154,0.07163125746530312
80,0.6180979932803656,0.08498009788393228
81,0.6124705078076151,0.08470767708129542
82,0.6127206182730707,0.07280313435810219
83,0.618473158978549,0.0949829258322631
84,0.6330045770215179,0.0887872060705875
